id,MinAge,MaxAge,Taxon,Rotated Lat,Rotated Lon,range
2850,283.5,290.1,Brazilosaurus,-51.5302,-31.2549,"(290.1, 283.5)"
2845,283.5,290.1,Stereosternum,-68.9066,-34.0759,"(290.1, 283.5)"
2842,283.5,290.1,Mesosaurus,-67.0248,-43.6981,"(290.1, 283.5)"
2841,283.5,290.1,Mesosaurus,-67.0248,-43.6981,"(290.1, 283.5)"
2839,283.5,290.1,Mesosaurus,-51.5302,-31.2549,"(290.1, 283.5)"
2840,283.5,290.1,Mesosaurus,-51.5302,-31.2549,"(290.1, 283.5)"
2836,283.5,290.1,Mesosaurus,-51.5302,-31.2549,"(290.1, 283.5)"
2837,283.5,290.1,Mesosaurus,-51.5302,-31.2549,"(290.1, 283.5)"
2838,283.5,290.1,Mesosaurus,-51.5302,-31.2549,"(290.1, 283.5)"
2835,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2834,283.5,290.1,Mesosaurus,-49.9329,-27.4876,"(290.1, 283.5)"
2831,283.5,290.1,Mesosaurus,-49.9329,-27.4876,"(290.1, 283.5)"
2830,283.5,290.1,Mesosaurus,-51.5302,-31.2549,"(290.1, 283.5)"
2829,283.5,290.1,Mesosaurus,-51.5302,-31.2549,"(290.1, 283.5)"
2823,283.5,290.1,Stereosternum,-51.5302,-31.2549,"(290.1, 283.5)"
2824,283.5,290.1,Stereosternum,-51.5302,-31.2549,"(290.1, 283.5)"
2825,283.5,290.1,Stereosternum,-51.5302,-31.2549,"(290.1, 283.5)"
2826,283.5,290.1,Stereosternum,-51.5302,-31.2549,"(290.1, 283.5)"
2827,283.5,290.1,Stereosternum,-51.5302,-31.2549,"(290.1, 283.5)"
2828,283.5,290.1,Stereosternum,-51.5302,-31.2549,"(290.1, 283.5)"
2822,283.5,290.1,Mesosaurus,-49.9329,-27.4876,"(290.1, 283.5)"
2796,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2797,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2798,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2799,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2800,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2801,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2802,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2803,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2804,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2805,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2806,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2807,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2808,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2809,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2810,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
