id,MinAge,MaxAge,Taxon,Rotated Lat,Rotated Lon
3755,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
3756,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
3757,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
3746,208.5,227.0,Rioarribasuchus,3.8366,-43.9682
3745,208.5,227.0,Typothorax,3.8366,-43.9682
3744,208.5,227.0,Grallator,1.3572,-44.289
3740,208.5,227.0,Brachychirotherium,6.739,-20.6269
3739,208.5,227.0,Grallator,6.739,-20.6269
3738,208.5,227.0,Grallator,6.739,-20.6269
3737,208.5,227.0,Coelurosaurichnus,6.739,-20.6269
3736,208.5,227.0,Grallator,6.739,-20.6269
3735,208.5,227.0,Erpetosuchus,9.7128,-18.2895
3721,237.0,242.0,Nothosaurus,27.7242,17.4803
3720,227.0,237.0,Mehliella,14.5604,15.3285
3719,208.5,227.0,Shuvosaurus,-1.4701,-41.4649
3718,208.5,227.0,Shuvosaurus,-1.4701,-41.4649
3717,208.5,227.0,Coelophysis,-1.4701,-41.4649
3585,208.5,227.0,Plateosaurus,32.5932,9.3339
3584,208.5,227.0,Plateosaurus,30.9826,11.6474
3583,208.5,227.0,Plateosaurus,32.5932,9.3339
3578,208.5,227.0,Kintneria,6.739,-20.6269
3577,208.5,227.0,Gwyneddichnium,6.739,-20.6269
3576,208.5,227.0,Gwyneddichnium,6.739,-20.6269
3575,208.5,227.0,Gwyneddichnium,6.739,-20.6269
3574,208.5,227.0,Anchisauripus,6.739,-20.6269
3573,208.5,227.0,Platypterna,6.739,-20.6269
3547,213.2,227.0,Kayentapus,3.8376,-23.1639
3548,213.2,227.0,Kayentapus,3.8376,-23.1639
3549,213.2,227.0,Kayentapus,3.8376,-23.1639
3550,213.2,227.0,Kayentapus,3.8376,-23.1639
3551,213.2,227.0,Kayentapus,3.8376,-23.1639
3552,213.2,227.0,Kayentapus,3.8376,-23.1639
3553,213.2,227.0,Kayentapus,3.8376,-23.1639
3554,213.2,227.0,Kayentapus,3.8376,-23.1639
3555,213.2,227.0,Kayentapus,3.8376,-23.1639
3556,213.2,227.0,Kayentapus,3.8376,-23.1639
3557,213.2,227.0,Kayentapus,3.8376,-23.1639
3558,213.2,227.0,Kayentapus,3.8376,-23.1639
3559,213.2,227.0,Kayentapus,3.8376,-23.1639
3560,213.2,227.0,Kayentapus,3.8376,-23.1639
3561,213.2,227.0,Kayentapus,3.8376,-23.1639
3562,213.2,227.0,Kayentapus,3.8376,-23.1639
3563,213.2,227.0,Kayentapus,3.8376,-23.1639
3564,213.2,227.0,Kayentapus,3.8376,-23.1639
3565,213.2,227.0,Kayentapus,3.8376,-23.1639
3566,213.2,227.0,Kayentapus,3.8376,-23.1639
3546,213.2,227.0,Brachychirotherium,3.8376,-23.1639
3545,213.2,227.0,Apatopus,3.8376,-23.1639
3537,213.2,227.0,Brachychirotherium,3.8376,-23.1639
3538,213.2,227.0,Brachychirotherium,3.8376,-23.1639
3539,213.2,227.0,Brachychirotherium,3.8376,-23.1639
3540,213.2,227.0,Brachychirotherium,3.8376,-23.1639
