id,Rotated Lat,Rotated Lon,genus,locality
1778,-0.73,-37.6741,Acheloma,Oklahoma
1779,-0.73,-37.6741,Acheloma,Oklahoma
1777,-0.73,-37.6741,Cacops,Oklahoma
1776,1.0593,-36.5887,Trimerorhachis,Oklahoma
1775,1.0593,-36.5887,Tersomius,Oklahoma
1774,-9.577,6.2542,Saharastega,Agadez
1773,-9.577,6.2542,Nigerpeton,Agadez
1764,-1.3878,-41.1268,Anaschisma,Texas
1765,-1.3878,-41.1268,Anaschisma,Texas
1766,-1.3878,-41.1268,Anaschisma,Texas
1767,-1.3878,-41.1268,Anaschisma,Texas
1768,-1.3878,-41.1268,Anaschisma,Texas
1769,-1.3878,-41.1268,Anaschisma,Texas
1770,-1.3878,-41.1268,Anaschisma,Texas
1771,-1.3878,-41.1268,Anaschisma,Texas
1772,-1.3878,-41.1268,Anaschisma,Texas
1763,35.9688,2.1884,Mastodonsaurus,Wales
1762,35.9688,2.1884,Trematosaurus,Wales
1761,24.5505,12.962,Mastodonsaurus,England
1760,24.5505,12.962,Mastodonsaurus,England
1759,24.5505,12.962,Stenotosaurus,England
1758,1.3531,-47.1801,Anaschisma,New Mexico
1757,1.3531,-47.1801,Anaschisma,New Mexico
1756,1.3531,-47.1801,Anaschisma,New Mexico
1755,1.3531,-47.1801,Anaschisma,New Mexico
1754,32.5932,9.3339,Gerrothorax,Baden-Wurttemberg
1753,1.0593,-36.5887,Tersomius,Oklahoma
1752,5.4889,-44.6476,Eryops,Utah
1751,0.2573,-40.5036,Slaugenhopia,Texas
1750,12.0025,2.0252,Metoposaurus,Portugal
1749,33.3149,17.5971,Metoposaurus,Opole
1748,1.3572,-44.289,Apachesaurus,New Mexico
1747,1.3572,-44.289,Apachesaurus,New Mexico
1746,-1.3878,-41.1268,Anaschisma,Texas
1745,1.3531,-47.1801,Apachesaurus,Arizona
1744,1.3531,-47.1801,Anaschisma,Arizona
1743,1.0633,-40.6348,Anaschisma,Texas
1742,38.1038,33.5023,Melosaurus,Tatarstan
1741,0.6581,-40.4143,Trimerorhachis,Texas
1740,0.2573,-40.5036,Trimerorhachis,Texas
1739,-0.73,-37.6741,Trimerorhachis,Oklahoma
1738,-0.73,-37.6741,Eryops,Oklahoma
1737,1.5211,-36.5866,Trimerorhachis,Oklahoma
1736,1.5211,-36.5866,Trimerorhachis,Oklahoma
1735,1.5211,-36.5866,Eryops,Oklahoma
1734,1.5211,-36.5866,Eryops,Oklahoma
1733,-2.9808,-38.7628,Trimerorhachis,Texas
1732,-0.73,-37.6741,Doleserpeton,Oklahoma
1731,0.2573,-40.5036,Slaugenhopia,Texas
1730,-0.4818,-24.8936,Isodectes,Ohio
1729,-0.4818,-24.8936,Isodectes,Ohio
1728,-2.9808,-38.7628,Trimerorhachis,Texas
1727,-0.73,-37.6741,Trimerorhachis,Texas
1726,-0.73,-37.6741,Eryops,Texas
1725,-9.577,6.2542,Nigerpeton,Agadez
1724,39.6978,104.1239,Anakamacops,Gansu
1723,48.3133,44.0363,Parotosuchus,Orenburg
1722,48.3133,44.0363,Parotosuchus,Orenburg
1721,48.3133,44.0363,Yarengia,Orenburg
1720,48.3133,44.0363,Eryosuchus,Orenburg
1719,51.5683,36.4314,Mastodonsaurus,Bashkortostan
1718,51.5683,36.4314,Plagioscutum,Bashkortostan
1717,-2.7466,-38.9219,Eryops,Texas
1716,-2.7466,-38.9219,Zatrachys,Texas
1715,-2.7466,-38.9219,Acheloma,Texas
1714,-2.7466,-38.9219,Phonerpeton,Texas
