Locality,id,Taxon,MaxAge,MinAge,Rotated Lat,Rotated Lon,Area
Volgograd,1987,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1988,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1989,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1990,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1991,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1992,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1993,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1994,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1995,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1996,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1997,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1998,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1999,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2000,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2001,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2002,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2003,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2004,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2005,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2006,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2007,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2008,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2009,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2010,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2011,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2012,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2013,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2014,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2015,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2016,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2017,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2018,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2019,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2020,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2021,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2022,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2023,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2024,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2025,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2026,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2027,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2028,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2029,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2030,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2031,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2032,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2033,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2034,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2035,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2036,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2037,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2038,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2039,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2040,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2041,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2042,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2043,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2044,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2045,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2046,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2047,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2048,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2049,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2050,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2051,Benthosuchus,251.2,247.2,47.012,29.6875,1
