id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka,
6990,1419211,1419211,-9.650311,Psephosauriscus,246.7,242,Middle Triassic,"(246.7, 242.0)",IL,,Israel,Gevanim,,Makhtech Ramon (HUJ collection),Makhtesh Ramon,
6991,1419212,1419212,-9.650311,Psephosauriscus,246.7,242,Middle Triassic,"(246.7, 242.0)",IL,,Israel,Gevanim,,Makhtech Ramon (HUJ collection),Makhtesh Ramon,
6992,1419509,1419509,-9.650311,Simosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",IL,,Israel,Gevanim,,Makhtech Ramon (HUJ collection),Makhtesh Ramon,
7068,1347595,1347595,-9.650311,Tanystropheus,246.7,243.8,Middle Triassic,"(246.7, 243.8)",IL,,Israel,Gevanim,,"Wadi Ramon, Beneckeia beds",,
3926,1549937,1549937,-25.48265,Kranosaura,227,208.5,Late Triassic,"(227.0, 208.5)",IN,,Andhra Pradesh,Maleri,,Kranosaura type locality,,
4544,1561501,1561501,29.81785,Raibliania,237,227,Late Triassic,"(237.0, 227.0)",IT,,,,Trachyceras aon,"Cave del Predil (Raibl), Fischschiefer",,
6246,1094887,1094887,22.30036,Lariosaurus,242,237,Middle Triassic,"(242.0, 237.0)",IT,,,Perledo-Vaenna,,"Esino, near Perledo",,
6247,1094888,1094888,13.70334,Lariosaurus,242,237,Middle Triassic,"(242.0, 237.0)",IT,,,Perledo-Vaenna,,Surroundings of Lecco,,
6575,1140294,1140294,27.93197,Nothosaurus,237,233.4,Late Triassic,"(237.0, 233.4)",IT,,,Cassian,,St. Cassian (Munster coll),,
6690,1094889,1094889,22.30036,Lariosaurus,239.7,237,Middle Triassic,"(239.7, 237.0)",IT,,,Meride,,"Cà del Frate, Viggiù, Monte San Giorgio",,
6691,1094890,1094890,22.30036,Lariosaurus,239.7,237,Middle Triassic,"(239.7, 237.0)",IT,,,Meride,,"Cà del Frate, Viggiù, Monte San Giorgio",,
6701,1415011,1415011,22.30036,Neusticosaurus,239.7,237,Middle Triassic,"(239.7, 237.0)",IT,,,Meride,,"Cà del Frate, Viggiù, Monte San Giorgio",,
6733,1439334,1439334,22.30036,Odoiporosaurus,239.7,237,Middle Triassic,"(239.7, 237.0)",IT,,,Meride,,"Rio Vallone, Viggiù, Monte San Giorgio",,
6827,1445534,1445534,22.30036,Neusticosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",IT,,,Cunardo,Eoprotrachyceras curionii,"SEZ.H2, Rasa di Varese",,
6978,1162165,1162165,20.93788,Mixosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",IT,,,Besano,,Besano (MCSN Milan collection),,
6979,1162174,1162174,20.93788,Neusticosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",IT,,,Besano,,Besano (MCSN Milan collection),,
6980,1162175,1162175,20.93788,Tanystropheus,246.7,242,Middle Triassic,"(246.7, 242.0)",IT,,,Besano,,Besano (MCSN Milan collection),,
6993,1445529,1445529,20.93788,Helveticosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",IT,,,San Salvatore,Nevadites secedensis,"SEZ.D, Rasa di Varese",,
6994,1445531,1445531,20.93788,Ticinosuchus,246.7,242,Middle Triassic,"(246.7, 242.0)",IT,,,San Salvatore,Nevadites secedensis,"SEZ.I, Rasa di Varese",,
5178,630027,630027,39.29812,Eudimorphodon,208.5,201.4,Late Triassic,"(208.5, 201.4)",LU,,,,,"Auf dem Heftgen, Syren",SYREN 16561,
7085,1195725,1195725,27.06795,Anarosaurus,246.7,244.7,Middle Triassic,"(246.7, 244.7)",NL,,,Vossenveld,,Winterswijk Quarry III,,
7086,1195726,1195726,27.06795,Eusaurosphargis,246.7,244.7,Middle Triassic,"(246.7, 244.7)",NL,,,Vossenveld,,Winterswijk Quarry III,,
7087,1195727,1195727,27.06795,Cymatosaurus,246.7,244.7,Middle Triassic,"(246.7, 244.7)",NL,,,Vossenveld,,Winterswijk Quarry III,,
5823,818844,818844,29.56131,Placodus,246.7,242,Middle Triassic,"(246.7, 242.0)",PL,,,Wellenkalk,,"Gogoliner Schichten, Muschelkalk, Chorzow",,
5983,1094700,1094700,29.56131,Cymatosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",PL,,,Wellenkalk,,"Gogoliner Schichten, Muschelkalk, Chorzow",,
5984,1094703,1094703,29.56131,Cymatosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",PL,,,Wellenkalk,,"Gogoliner Schichten, Muschelkalk, Chorzow",,
5985,1094704,1094704,29.56131,Cymatosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",PL,,,Gogolin,,"Sacrau, near Goglin",Zakrzów,
5988,1094760,1094760,29.56131,Germanosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",PL,,,Gogolin,,"Sacrau, near Goglin",Zakrzów,
5989,1094761,1094761,29.56131,Germanosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",PL,,,Wellenkalk,,"Gogoliner Schichten, Muschelkalk, Chorzow",,
5990,1094788,1094788,29.56131,Cymatosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",PL,,,Gogolin,,"Sacrau, near Goglin",Zakrzów,
6000,1094870,1094870,29.56131,Cymatosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",PL,,,Wellenkalk,,"Gogoliner Schichten, Muschelkalk, Chorzow",,
6001,1094871,1094871,29.56131,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",PL,,,Wellenkalk,,"Gogoliner Schichten, Muschelkalk, Chorzow",,
6003,1094873,1094873,29.56131,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",PL,,,Wellenkalk,,"Gogoliner Schichten, Muschelkalk, Chorzow",,
