genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Struthiocephaloides	-0.3033557921828507	0	0	0	1	0
Struthiocephalus	-0.3033557921828507	0	0	0	1	0
Styracocephalus	-0.3033557921828507	0	0	0	1	0
Suchogorgon	-0.3033557921828507	0	1	0	0	0
Suminia	-0.2537189826682994	0	1	0	0	0
Sungeodon	-0.3033557921828507	0	1	0	0	0
Sycosaurus	0.4408477902336112	0	0	0	1	0
Syodon	-0.057809867678658	0	1	0	0	0
Syops	-0.3033557921828507	0	0	0	1	0
Sysphinctostoma	-0.3033557921828507	0	0	0	1	0
Tamboeria	-0.3033557921828507	0	0	0	1	0
Taoheodon	-0.3033557921828507	0	1	0	0	0
Tapinocaninus	-0.3033557921828507	0	0	0	1	0
Tapinocephalus	-0.3033557921828507	0	0	0	1	0
Taurocephalus	-0.3033557921828507	0	0	0	1	0
Tetracynodon	-0.0143121619110934	0	0	0	1	0
Tetragonias	-0.3033557921828507	0	0	0	1	0
Theriognathus	0.6421362386391801	0	0	0	1	0
Therioides	-0.3033557921828507	0	0	0	1	0
Thliptosaurus	-0.3033557921828507	0	0	0	1	0
Thrinaxodon	0.652107227534114	0	0	0	1	1
Tigrisuchus	-0.3033557921828507	0	0	0	1	0
Titanogomphodon	-0.3033557921828507	0	0	0	1	0
Titanophoneus	-0.1594732890384362	0	1	0	0	0
Titanosuchus	-0.3033557921828507	0	0	0	1	0
Traversodon	-0.3033557921828507	0	0	0	1	0
Traversodontoides	-0.3033557921828507	0	1	0	0	0
Trirachodon	0.6521305787961628	0	0	0	1	0
Trochorhinus	-0.3033557921828507	0	0	0	1	0
Trochosaurus	-0.3033557921828507	0	0	0	1	0
Trochosuchus	-0.3033557921828507	0	0	0	1	0
Tropidostoma	-0.0566491390919286	0	0	0	1	0
Turfanodon	1.076123430621141	0	1	0	0	0
Ufudocyclops	-0.3033557921828507	0	0	0	1	0
Ulemica	-0.1594732890384362	0	1	0	0	0
Ulemosaurus	-0.1594732890384362	0	1	0	0	0
Uralocynodon	-0.3033557921828507	0	1	0	0	0
Uralokannemeyeria	-0.3033557921828507	0	1	0	0	0
Urumchia	-0.3033557921828507	0	1	0	0	0
Ustia	-0.3033557921828507	0	1	0	0	0
Varanodon	-0.3033557921828507	0	0	1	0	0
Venyukovia	-0.3033557921828507	0	1	0	0	0
Vetusodon	-0.3033557921828507	0	0	0	1	0
Viatkogorgon	-0.3033557921828507	0	1	0	0	0
Viatkosuchus	-0.3033557921828507	0	1	0	0	0
Vinceria	-0.3033557921828507	0	0	0	1	0
Vivaxosaurus	-0.0385456460311899	0	1	0	0	0
Wadiasaurus	-0.3033557921828507	0	0	0	1	0
Walteria	-0.3033557921828507	0	0	0	1	0
Watongia	-0.3033557921828507	0	0	1	0	0
Xiyukannemeyeria	-0.26501700669919	0	1	0	0	0
Yikezhaogia	-0.3033557921828507	0	1	0	0	0
Zambiasaurus	-0.3033557921828507	0	0	0	1	0
