,occurrence_no,locality,county_original,state,cc,notes
438,517728,Saxony,Weisseritzkreis,Saxony,DE,
439,517729,Saxony,Weisseritzkreis,Saxony,DE,
440,517730,Saxony,Weisseritzkreis,Saxony,DE,
441,517731,Saxony,Weisseritzkreis,Saxony,DE,
442,517732,Saxony,Weisseritzkreis,Saxony,DE,
443,533987,New Mexico,McKinley,New Mexico,US,
444,538734,Luxembourg,,Diekirch,LU,
445,538735,Luxembourg,,Diekirch,LU,
446,558338,England,Warwickshire,England,UK,
447,558339,England,Warwickshire,England,UK,
448,558340,England,Warwickshire,England,UK,
449,559541,Czechia,,Boheme,CZ,
450,562849,Arizona,Apache,Arizona,US,
451,572543,Arizona,Apache,Arizona,US,
452,572544,Arizona,Apache,Arizona,US,
453,572574,Arizona,,Arizona,US,
454,572583,New Mexico,McKinley,New Mexico,US,
455,584069,Opole,,Opole,PL,
456,584070,Opole,,Opole,PL,
457,584075,Opole,,Opole,PL,
458,590154,New Mexico,Rio Arriba,New Mexico,US,
459,629466,Oklahoma,Comanche,Oklahoma,US,
460,629466,Oklahoma,Comanche,Oklahoma,US,
461,629466,Oklahoma,Comanche,Oklahoma,US,
462,629466,Oklahoma,Comanche,Oklahoma,US,
463,629466,Oklahoma,Comanche,Oklahoma,US,
464,629466,Oklahoma,Comanche,Oklahoma,US,
465,629466,Oklahoma,Comanche,Oklahoma,US,
466,629467,Oklahoma,Comanche,Oklahoma,US,
467,629468,Oklahoma,Comanche,Oklahoma,US,
468,629488,Oklahoma,Comanche,Oklahoma,US,
469,629488,Oklahoma,Comanche,Oklahoma,US,
470,629489,Oklahoma,Comanche,Oklahoma,US,
471,631438,Oklahoma,Tillman,Oklahoma,US,
472,631439,Oklahoma,Tillman,Oklahoma,US,
473,632371,Agadez,Arlit,Agadez,NE,
474,632372,Agadez,Arlit,Agadez,NE,
475,667875,Texas,Crosby,Texas,US,
476,667875,Texas,Crosby,Texas,US,
477,667875,Texas,Crosby,Texas,US,
478,667875,Texas,Crosby,Texas,US,
479,667875,Texas,Crosby,Texas,US,
480,667875,Texas,Crosby,Texas,US,
481,667875,Texas,Crosby,Texas,US,
482,667875,Texas,Crosby,Texas,US,
483,667875,Texas,Crosby,Texas,US,
484,670355,Wales,Penarth,Wales,UK,
485,670358,Wales,Penarth,Wales,UK,
486,690409,England,Warwickshire,England,UK,
487,690410,England,Warwickshire,England,UK,
488,690411,England,Warwickshire,England,UK,
489,705334,New Mexico,McKinley,New Mexico,US,
490,705335,New Mexico,McKinley,New Mexico,US,
491,705362,New Mexico,McKinley,New Mexico,US,
492,705368,New Mexico,McKinley,New Mexico,US,
493,728366,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
494,739841,Oklahoma,Cleveland,Oklahoma,US,
