Time,mean_gl_stages_z_trans,Mod_R_deltaTMyr_gl_stages_z_trans
265.3,-1.435390012,1.184505421
265.4,-1.435390012,1.184505421
265.5,-1.435390012,1.184505421
265.6,-1.435390012,1.184505421
265.7,-1.435390012,1.184505421
265.8,-1.435390012,1.184505421
265.9,-1.435390012,1.184505421
266,-1.435390012,1.184505421
266.1,-1.435390012,1.184505421
266.2,-1.435390012,1.184505421
266.3,-1.435390012,1.184505421
266.4,-1.435390012,1.184505421
266.5,-1.435390012,1.184505421
266.6,-1.435390012,1.184505421
266.7,-1.435390012,1.184505421
266.8,-1.435390012,1.184505421
266.9,-1.435390012,1.184505421
267,-1.435390012,1.184505421
267.1,-1.435390012,1.184505421
267.2,-1.435390012,1.184505421
267.3,-1.435390012,1.184505421
267.4,-1.435390012,1.184505421
267.5,-1.435390012,1.184505421
267.6,-1.435390012,1.184505421
267.7,-1.435390012,1.184505421
267.8,-1.435390012,1.184505421
267.9,-1.435390012,1.184505421
268,-1.435390012,1.184505421
268.1,-1.435390012,1.184505421
268.2,-1.435390012,1.184505421
268.3,-1.435390012,1.184505421
268.4,-1.435390012,1.184505421
268.5,-1.435390012,1.184505421
268.6,-1.435390012,1.184505421
268.7,-1.435390012,1.184505421
268.8,-0.767960511,-0.712796116
268.9,-0.767960511,-0.712796116
269,-0.767960511,-0.712796116
269.1,-0.767960511,-0.712796116
269.2,-0.767960511,-0.712796116
269.3,-0.767960511,-0.712796116
269.4,-0.767960511,-0.712796116
269.5,-0.767960511,-0.712796116
269.6,-0.767960511,-0.712796116
269.7,-0.767960511,-0.712796116
269.8,-0.767960511,-0.712796116
269.9,-0.767960511,-0.712796116
270,-0.767960511,-0.712796116
270.1,-0.767960511,-0.712796116
270.2,-0.767960511,-0.712796116
270.3,-0.767960511,-0.712796116
270.4,-0.767960511,-0.712796116
270.5,-0.767960511,-0.712796116
270.6,-0.767960511,-0.712796116
270.7,-0.767960511,-0.712796116
270.8,-0.767960511,-0.712796116
270.9,-0.767960511,-0.712796116
271,-0.767960511,-0.712796116
271.1,-0.767960511,-0.712796116
271.2,-0.767960511,-0.712796116
271.3,-0.767960511,-0.712796116
271.4,-0.767960511,-0.712796116
271.5,-0.767960511,-0.712796116
271.6,-0.767960511,-0.712796116
271.7,-0.767960511,-0.712796116
271.8,-0.767960511,-0.712796116
271.9,-0.767960511,-0.712796116
272,-0.767960511,-0.712796116
272.1,-0.767960511,-0.712796116
272.2,-0.767960511,-0.712796116
272.3,-0.767960511,-0.712796116
272.4,-0.767960511,-0.712796116
272.5,-0.767960511,-0.712796116
272.6,-0.767960511,-0.712796116
272.7,-0.767960511,-0.712796116
272.8,-0.767960511,-0.712796116
272.9,-0.767960511,-0.712796116
273,-0.767960511,-0.712796116
273.1,-0.767960511,-0.712796116
273.2,-0.767960511,-0.712796116
273.3,-0.767960511,-0.712796116
273.4,-0.767960511,-0.712796116
273.5,-0.767960511,-0.712796116
273.6,-0.767960511,-0.712796116
273.7,-0.767960511,-0.712796116
273.8,-0.767960511,-0.712796116
273.9,-0.767960511,-0.712796116
274,-0.767960511,-0.712796116
274.1,-0.767960511,-0.712796116
274.2,-0.767960511,-0.712796116
274.3,-0.767960511,-0.712796116
274.4,-0.767960511,-0.712796116
274.5,-0.767960511,-0.712796116
274.6,-0.767960511,-0.712796116
274.7,-0.767960511,-0.712796116
274.8,-0.767960511,-0.712796116
