genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Fraserosphenodon,-1.470099,24.95607,0,1,1,0,0,26.426169,1.6524912880309692
Fraxinisaura,27.72418,27.72418,0,1,0,0,0,0.0,-0.3368251980293161
Fugusuchus,40.04971,40.04971,0,1,0,0,0,0.0,-0.3368251980293161
Fuyuansaurus,18.78245,18.78245,0,0,1,0,0,0.0,-0.3368251980293161
Galesphyrus,-61.36501,-58.47538,0,0,0,1,0,2.889629999999997,-0.11929882870902696
Gamatavus,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3368251980293161
Gansurhinus,38.44569,39.6978,0,1,0,0,0,1.2521100000000018,-0.24256851385534642
Garjainia,-60.68525,48.31328,0,1,0,1,0,108.99853,7.868396402019354
Garzapelta,-1.470099,-1.470099,0,0,1,0,0,0.0,-0.3368251980293161
Gecatogomphius,41.45729,41.45729,0,1,0,0,0,0.0,-0.3368251980293161
Gephyrosaurus,34.05859,34.05859,0,1,0,0,0,0.0,-0.3368251980293161
Germanosaurus,29.56131,29.56131,0,1,0,0,0,0.0,-0.3368251980293161
Glaurung,27.6348,27.6348,0,1,0,0,0,0.0,-0.3368251980293161
Glyphoderma,18.78245,18.78245,0,0,1,0,0,0.0,-0.3368251980293161
Gnathovorax,-49.47713,-46.11636,0,0,0,1,0,3.3607700000000023,-0.08383222099746447
Gojirasaurus,1.357201,1.357201,0,0,1,0,0,0.0,-0.3368251980293161
Gomphiosauridion,1.982645,1.982645,0,0,1,0,0,0.0,-0.3368251980293161
Gondwanax,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3368251980293161
Gorgetosuchus,-0.5164049,-0.5164049,0,0,1,0,0,0.0,-0.3368251980293161
Gracilisuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3368251980293161
Grallator,3.837634,3.837634,0,0,1,0,0,0.0,-0.3368251980293161
Graoullyodon,37.62532,37.62532,0,1,0,0,0,0.0,-0.3368251980293161
Gresslyosaurus,29.0864,32.59323,0,1,0,0,0,3.5068299999999972,-0.0728370757702484
Grippia,31.61801,48.45778,0,1,0,0,0,16.839769999999998,0.9308436828615692
Guaibasaurus,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.3368251980293161
Gualosuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3368251980293161
Guanlingsaurus,27.01127,27.01127,0,1,0,0,0,0.0,-0.3368251980293161
Guchengosuchus,42.97892,42.97892,0,1,0,0,0,0.0,-0.3368251980293161
Guizhouichthyosaurus,18.78245,27.01127,0,1,1,0,0,8.228819999999999,0.2826261983052262
Gulosaurus,31.61801,31.61801,0,1,0,0,0,0.0,-0.3368251980293161
Gunakadeit,8.937985,8.937985,0,0,1,0,0,0.0,-0.3368251980293161
Gyposaurus,52.14119,52.14119,0,1,0,0,0,0.0,-0.3368251980293161
Halazhaisuchus,42.97892,42.97892,0,1,0,0,0,0.0,-0.3368251980293161
Haligonia,10.58739,35.96879,0,1,1,0,0,25.3814,1.5738428772142246
Hanosaurus,13.32615,13.32615,0,0,1,0,0,0.0,-0.3368251980293161
Helveticosaurus,20.93788,20.93788,0,0,1,0,0,0.0,-0.3368251980293161
Hemilopas,29.45002,29.56131,0,1,0,0,0,0.11129000000000033,-0.32844747851448025
Hemiprotosuchus,-50.49719,-50.49719,0,0,0,1,0,0.0,-0.3368251980293161
Henodus,26.10174,26.10174,0,1,0,0,0,0.0,-0.3368251980293161
Heptasuchus,9.714393,9.714393,0,0,1,0,0,0.0,-0.3368251980293161
Herrerasaurus,-52.00118,-52.00118,0,0,0,1,0,0.0,-0.3368251980293161
Hescheleria,20.93788,20.93788,0,0,1,0,0,0.0,-0.3368251980293161
Hesperosuchus,1.353064,8.831093,0,0,1,0,0,7.478028999999999,0.22610794498270761
Heterodontichnites,1.357201,1.722526,0,0,1,0,0,0.3653249999999999,-0.3093241612626938
Heteropelta,26.0552,26.0552,0,1,0,0,0,0.0,-0.3368251980293161
Himalayasaurus,-20.44913,-20.44913,0,0,1,0,0,0.0,-0.3368251980293161
Hispaniasaurus,10.40624,10.40624,0,0,1,0,0,0.0,-0.3368251980293161
Honghesaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3368251980293161
Horaffia,25.88766,27.72418,0,1,0,0,0,1.8365200000000002,-0.19857513563928764
Hovasaurus,-50.09196,-37.33496,0,0,0,1,0,12.756999999999998,0.6234997893977701
Howesia,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.3368251980293161
Hudsonelpidia,19.11306,19.11306,0,0,1,0,0,0.0,-0.3368251980293161
Hupehsuchus,15.35236,20.78674,0,0,1,0,0,5.434380000000003,0.07226556823030701
Hwiccewyrm,24.95607,24.95607,0,1,0,0,0,0.0,-0.3368251980293161
Hyperodapedon,-52.00118,10.58739,0,0,1,1,0,62.58857,4.37473454942928
Hypselorhachis,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3368251980293161
Hypsognathus,10.58739,35.96879,0,1,1,0,0,25.3814,1.5738428772142246
Hypuronector,6.739012,6.739012,0,0,1,0,0,0.0,-0.3368251980293161
Icarosaurus,6.739012,6.739012,0,0,1,0,0,0.0,-0.3368251980293161
Ichthyosaurus,5.457047,39.82208,0,1,1,0,0,34.365033,2.250115296103819
Ichthyotitan,34.05859,34.05859,0,1,0,0,0,0.0,-0.3368251980293161
Idiosaura,1.982645,1.982645,0,0,1,0,0,0.0,-0.3368251980293161
Ignotosaurus,-52.00118,-52.00118,0,0,0,1,0,0.0,-0.3368251980293161
Incertovenator,-52.00118,-52.00118,0,0,0,1,0,0.0,-0.3368251980293161
Indosauriscus,-42.23717,-42.23717,0,0,0,1,0,0.0,-0.3368251980293161
Ingentia,-52.85442,-52.85442,0,0,0,1,0,0.0,-0.3368251980293161
Isfjordosaurus,47.8035,47.8035,0,1,0,0,0,0.0,-0.3368251980293161
Issi,40.08932,40.08932,0,1,0,0,0,0.0,-0.3368251980293161
Ixalerpeton,-49.47713,-46.11636,0,0,0,1,0,3.3607700000000023,-0.08383222099746447
Jaklapallisaurus,-25.48265,-25.48265,0,0,0,1,0,0.0,-0.3368251980293161
Jaxtasuchus,27.72418,27.72418,0,1,0,0,0,0.0,-0.3368251980293161
Jesairosaurus,-3.863414,-3.863414,0,0,1,0,0,0.0,-0.3368251980293161
Jingshanosaurus,52.14119,52.14119,0,1,0,0,0,0.0,-0.3368251980293161
Jupijkam,13.4263,13.4263,0,0,1,0,0,0.0,-0.3368251980293161
Jushatyria,46.885,46.885,0,1,0,0,0,0.0,-0.3368251980293161
Kadimakara,-54.016,-54.016,0,0,0,1,0,0.0,-0.3368251980293161
Kahneria,1.681402,1.681402,0,0,1,0,0,0.0,-0.3368251980293161
Kalisuchus,-54.016,-54.016,0,0,0,1,0,0.0,-0.3368251980293161
Kapes,21.05439,49.80777,0,1,1,0,0,28.753379999999996,1.8276797237380455
Keichousaurus,15.35236,18.78245,0,0,1,0,0,3.4300900000000016,-0.07861393079377668
Kholumolumo,-56.03159,-56.03159,0,0,0,1,0,0.0,-0.3368251980293161
