occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
924728,Rio Grande do Sul,,Rio Grande do Sul,BR,,Procerosuchus,242,237
930780,Rio Grande do Sul,Sao Pedro do Sul,Rio Grande do Sul,BR,,Archeopelta,242,237
930806,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,,Faxinalipterus,227,208.5
930806,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,,Faxinalipterus,227,208.5
930809,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,,Cargninia,227,208.5
933819,Rio Grande do Sul,,Rio Grande do Sul,BR,,Decuriasuchus,242,237
933819,Rio Grande do Sul,,Rio Grande do Sul,BR,,Decuriasuchus,242,237
933819,Rio Grande do Sul,,Rio Grande do Sul,BR,,Decuriasuchus,242,237
933819,Rio Grande do Sul,,Rio Grande do Sul,BR,,Decuriasuchus,242,237
933819,Rio Grande do Sul,,Rio Grande do Sul,BR,,Decuriasuchus,242,237
933819,Rio Grande do Sul,,Rio Grande do Sul,BR,,Decuriasuchus,242,237
933819,Rio Grande do Sul,,Rio Grande do Sul,BR,,Decuriasuchus,242,237
933819,Rio Grande do Sul,,Rio Grande do Sul,BR,,Decuriasuchus,242,237
933819,Rio Grande do Sul,,Rio Grande do Sul,BR,,Decuriasuchus,242,237
933820,Rio Grande do Sul,,Rio Grande do Sul,BR,,Decuriasuchus,242,237
1308719,Rio Grande do Sul,,Rio Grande do Sul,BR,,Dagasuchus,237,227
1308746,Rio Grande do Sul,Sao Joao do Polesine,Rio Grande do Sul,BR,,Polesinesuchus,237,227
1347612,Rio Grande do Sul,,Rio Grande do Sul,BR,,Teyujagua,251.902,247.2
1347761,Rio Grande do Sul,Sao Joao do Polesine,Rio Grande do Sul,BR,,Ixalerpeton,237,227
1347761,Rio Grande do Sul,Sao Joao do Polesine,Rio Grande do Sul,BR,,Ixalerpeton,237,227
1347762,Rio Grande do Sul,Sao Joao do Polesine,Rio Grande do Sul,BR,,Buriolestes,237,227
1347762,Rio Grande do Sul,Sao Joao do Polesine,Rio Grande do Sul,BR,,Buriolestes,237,227
1382838,Rio Grande do Sul,,Rio Grande do Sul,BR,,Decuriasuchus,247.2,237
1419205,Rio Grande do Sul,,Rio Grande do Sul,BR,,Hyperodapedon,233.4,227
1419303,Rio Grande do Sul,,Rio Grande do Sul,BR,,Erythrovenator,237,227
1423604,Rio Grande do Sul,,Rio Grande do Sul,BR,,Macrocollum,227,208.5
1456852,Rio Grande do Sul,,Rio Grande do Sul,BR,,Nhandumirim,227,208.5
1459722,Rio Grande do Sul,Candelaria,Rio Grande do Sul,BR,,Clevosaurus,237,227
1459725,Rio Grande do Sul,Candelaria,Rio Grande do Sul,BR,,Pampadromaeus,237,227
1486218,Rio Grande do Sul,,Rio Grande do Sul,BR,,Gnathovorax,233.4,227
1499983,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,,Lanceirosphenodon,227,208.5
1500171,Rio Grande do Sul,,Rio Grande do Sul,BR,,Elessaurus,251.902,247.2
1549175,Rio Grande do Sul,,Rio Grande do Sul,BR,,Oryporan,251.902,247.2
1549176,Rio Grande do Sul,,Rio Grande do Sul,BR,,Oryporan,251.902,247.2
