,occurrence_no,locality,county_original,state,cc,notes
329,497884,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
330,497885,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
331,504257,Switzerland,,Schaffhausen,CH,
332,504266,Switzerland,,Schaffhausen,CH,
333,504276,Switzerland,,Schaffhausen,CH,
334,504392,Connecticut,New Haven,Connecticut,US,
335,504393,Connecticut,New Haven,Connecticut,US,
336,504394,Connecticut,New Haven,Connecticut,US,
337,504395,Connecticut,New Haven,Connecticut,US,
338,504396,Connecticut,New Haven,Connecticut,US,
339,504397,Connecticut,New Haven,Connecticut,US,
340,504398,Connecticut,New Haven,Connecticut,US,
341,504399,Connecticut,New Haven,Connecticut,US,
342,504401,Connecticut,New Haven,Connecticut,US,
343,504402,Connecticut,New Haven,Connecticut,US,
344,504403,Connecticut,New Haven,Connecticut,US,
345,504404,Connecticut,New Haven,Connecticut,US,
346,504405,Connecticut,New Haven,Connecticut,US,
347,504406,Connecticut,New Haven,Connecticut,US,
348,504407,Connecticut,New Haven,Connecticut,US,
349,504408,Connecticut,New Haven,Connecticut,US,
350,504409,Connecticut,New Haven,Connecticut,US,
351,504410,Connecticut,New Haven,Connecticut,US,
352,504412,Connecticut,New Haven,Connecticut,US,
353,504413,Connecticut,New Haven,Connecticut,US,
354,513242,Yunnan,Eshan,Yunnan,CN,
355,513479,England,,England,UK,
356,513479,England,,England,UK,
357,513479,England,,England,UK,
358,513479,England,,England,UK,
359,513479,England,,England,UK,
360,513479,England,,England,UK,
361,513479,England,,England,UK,
362,513479,England,,England,UK,
363,513479,England,,England,UK,
364,513479,England,,England,UK,
365,513479,England,,England,UK,
366,513481,England,,England,UK,
367,513482,England,,England,UK,
368,513496,Kristianstads,,Kristianstads,SE,
369,513572,La Rioja,General Lavalle,La Rioja,AR,
370,513603,La Rioja,General Lavalle,La Rioja,AR,
371,513907,Arizona,Coconino,Arizona,US,
372,515173,New Mexico,Quay,New Mexico,US,
373,517573,New Mexico,Rio Arriba,New Mexico,US,
374,517577,Arizona,Apache,Arizona,US,
375,517578,Arizona,Apache,Arizona,US,
376,517585,Arizona,Apache,Arizona,US,
377,517592,Arizona,Apache,Arizona,US,
378,517595,Arizona,Apache,Arizona,US,
379,517597,Arizona,Apache,Arizona,US,
380,517601,Arizona,Apache,Arizona,US,
381,517603,Arizona,Apache,Arizona,US,
382,517609,Arizona,Navajo,Arizona,US,
383,517610,Arizona,Navajo,Arizona,US,
384,517611,Arizona,Navajo,Arizona,US,
385,517612,New Mexico,Santa Fe,New Mexico,US,
386,517613,New Mexico,Santa Fe,New Mexico,US,
387,517621,New Mexico,Rio Arriba,New Mexico,US,
388,517622,New Mexico,Rio Arriba,New Mexico,US,
389,518725,San Juan,Valle Fertil,San Juan,AR,
390,518725,San Juan,Valle Fertil,San Juan,AR,
391,518726,San Juan,Valle Fertil,San Juan,AR,
392,518727,San Juan,Valle Fertil,San Juan,AR,
393,518731,San Juan,Valle Fertil,San Juan,AR,
394,518732,San Juan,Valle Fertil,San Juan,AR,
395,518733,San Juan,Valle Fertil,San Juan,AR,
396,518734,San Juan,Valle Fertil,San Juan,AR,
397,518737,San Juan,Valle Fertil,San Juan,AR,
398,519917,San Juan,Valle Fertil,San Juan,AR,
399,520147,Massachusetts,Franklin,Massachusetts,US,
400,520148,Massachusetts,Franklin,Massachusetts,US,
401,520149,Massachusetts,Franklin,Massachusetts,US,
402,520150,Massachusetts,Franklin,Massachusetts,US,
403,520151,Massachusetts,Franklin,Massachusetts,US,
404,520152,Massachusetts,Franklin,Massachusetts,US,
405,520153,Massachusetts,Franklin,Massachusetts,US,
406,520154,Massachusetts,Franklin,Massachusetts,US,
407,520155,Massachusetts,Franklin,Massachusetts,US,
408,520156,Massachusetts,Franklin,Massachusetts,US,
409,520157,Massachusetts,Franklin,Massachusetts,US,
410,520158,Massachusetts,Franklin,Massachusetts,US,
411,520159,Massachusetts,Franklin,Massachusetts,US,
412,520160,Massachusetts,Franklin,Massachusetts,US,
413,520161,Massachusetts,Franklin,Massachusetts,US,
414,520162,Massachusetts,Franklin,Massachusetts,US,
415,520164,Massachusetts,Franklin,Massachusetts,US,
416,520165,Massachusetts,Franklin,Massachusetts,US,
417,520166,Massachusetts,Franklin,Massachusetts,US,
418,520167,Massachusetts,Franklin,Massachusetts,US,
419,520435,Massachusetts,Hampden,Massachusetts,US,
420,520437,Massachusetts,Hampden,Massachusetts,US,
421,520438,Massachusetts,Hampden,Massachusetts,US,
422,520439,Massachusetts,Hampden,Massachusetts,US,
423,520440,Massachusetts,Hampden,Massachusetts,US,
424,520445,Massachusetts,Hampden,Massachusetts,US,
425,520455,Massachusetts,Hampden,Massachusetts,US,
426,520457,Massachusetts,Hampshire,Massachusetts,US,
427,521669,Arizona,,Arizona,US,
428,521669,Arizona,,Arizona,US,
429,521669,Arizona,,Arizona,US,
430,521669,Arizona,,Arizona,US,
431,521669,Arizona,,Arizona,US,
432,521669,Arizona,,Arizona,US,
433,521670,Arizona,,Arizona,US,
434,521673,New Mexico,Rio Arriba,New Mexico,US,
435,521673,New Mexico,Rio Arriba,New Mexico,US,
436,521673,New Mexico,Rio Arriba,New Mexico,US,
437,521674,New Mexico,Rio Arriba,New Mexico,US,
438,521679,New Mexico,Rio Arriba,New Mexico,US,
439,521679,New Mexico,Rio Arriba,New Mexico,US,
440,527467,England,Nottinghamshire,England,UK,
441,528637,New Mexico,Rio Arriba,New Mexico,US,
442,528638,New Mexico,Rio Arriba,New Mexico,US,
443,528639,New Mexico,Rio Arriba,New Mexico,US,
444,528640,New Mexico,Rio Arriba,New Mexico,US,
445,528641,New Mexico,Rio Arriba,New Mexico,US,
446,528642,New Mexico,Rio Arriba,New Mexico,US,
447,528643,New Mexico,Rio Arriba,New Mexico,US,
448,528644,New Mexico,Rio Arriba,New Mexico,US,
449,528645,New Mexico,Rio Arriba,New Mexico,US,
450,530454,New Mexico,Rio Arriba,New Mexico,US,
451,530455,New Mexico,Rio Arriba,New Mexico,US,
452,531011,Massachusetts,Franklin,Massachusetts,US,
453,531014,Massachusetts,Franklin,Massachusetts,US,
454,531016,Massachusetts,Franklin,Massachusetts,US,
455,534097,Colorado,Mesa,Colorado,US,
456,534099,Colorado,Mesa,Colorado,US,
457,534100,Colorado,Mesa,Colorado,US,
458,534106,Massachusetts,Hampden,Massachusetts,US,
459,534107,Massachusetts,Hampden,Massachusetts,US,
460,534108,Massachusetts,Hampden,Massachusetts,US,
461,534508,Tachira,La Grita,Tachira,VE,
462,534612,,,,FR,delete
463,534736,Niedersachsen,,Niedersachsen,DE,
464,534770,England,,England,UK,
465,534770,England,,England,UK,
466,534770,England,,England,UK,
467,534770,England,,England,UK,
468,534770,England,,England,UK,
469,534770,England,,England,UK,
470,534779,Massachusetts,Hampden,Massachusetts,US,
471,534780,Massachusetts,Hampden,Massachusetts,US,
472,534781,Massachusetts,Hampden,Massachusetts,US,
473,534782,Massachusetts,Hampden,Massachusetts,US,
474,534782,Massachusetts,Hampden,Massachusetts,US,
475,534782,Massachusetts,Hampden,Massachusetts,US,
476,534782,Massachusetts,Hampden,Massachusetts,US,
477,534782,Massachusetts,Hampden,Massachusetts,US,
478,534782,Massachusetts,Hampden,Massachusetts,US,
479,534782,Massachusetts,Hampden,Massachusetts,US,
480,534782,Massachusetts,Hampden,Massachusetts,US,
481,534782,Massachusetts,Hampden,Massachusetts,US,
482,534782,Massachusetts,Hampden,Massachusetts,US,
483,534782,Massachusetts,Hampden,Massachusetts,US,
484,534782,Massachusetts,Hampden,Massachusetts,US,
485,534782,Massachusetts,Hampden,Massachusetts,US,
486,534782,Massachusetts,Hampden,Massachusetts,US,
487,534782,Massachusetts,Hampden,Massachusetts,US,
488,534782,Massachusetts,Hampden,Massachusetts,US,
489,534782,Massachusetts,Hampden,Massachusetts,US,
490,534971,New Mexico,Rio Arriba,New Mexico,US,
491,535860,New Jersey,Hunterdon,New Jersey,US,
492,535861,New Jersey,Hunterdon,New Jersey,US,
493,535862,New Jersey,Bergen,New Jersey,US,
494,535867,Pennsylvania,Adams,Pennsylvania,US,
495,535868,Pennsylvania,Adams,Pennsylvania,US,
496,535869,Pennsylvania,Adams,Pennsylvania,US,
497,535872,Pennsylvania,Montgomery,Pennsylvania,US,
498,535873,Pennsylvania,Montgomery,Pennsylvania,US,
499,535875,Nova Scotia,Kings,Nova Scotia,CA,
500,535877,Nova Scotia,Kings,Nova Scotia,CA,
501,535881,New Jersey,Essex,New Jersey,US,
502,535882,New Jersey,Essex,New Jersey,US,
503,535883,New Jersey,Essex,New Jersey,US,
504,535884,Pennsylvania,Montgomery,Pennsylvania,US,
505,536062,Rio Grande do Sul,,Rio Grande do Sul,BR,
506,536068,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,
507,536068,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,
508,536343,Aveyron,,Aveyron,FR,
509,536420,New Jersey,Hunterdon,New Jersey,US,
510,536421,New Jersey,Hunterdon,New Jersey,US,
511,536422,New Jersey,Bergen,New Jersey,US,
512,536423,New Jersey,Bergen,New Jersey,US,
513,536424,New Jersey,Bergen,New Jersey,US,
514,536425,New Jersey,Bergen,New Jersey,US,
515,536426,New Jersey,Bergen,New Jersey,US,
516,536427,New Jersey,Bergen,New Jersey,US,
517,536428,New Jersey,Bergen,New Jersey,US,
518,536429,New Jersey,Hunterdon,New Jersey,US,
519,536430,North Carolina,Rockingham,North Carolina,US,
520,536597,North Carolina,Chatham,North Carolina,US,
521,536598,North Carolina,Chatham,North Carolina,US,
522,536601,New Jersey,Essex,New Jersey,US,
523,536602,New Jersey,Essex,New Jersey,US,
524,536604,New Jersey,Essex,New Jersey,US,
525,538678,Lesotho,,Mohale's Hoek,LS,
526,538678,Lesotho,,Mohale's Hoek,LS,
527,538678,Lesotho,,Mohale's Hoek,LS,
528,538678,Lesotho,,Mohale's Hoek,LS,
529,538678,Lesotho,,Mohale's Hoek,LS,
530,538678,Lesotho,,Mohale's Hoek,LS,
531,538678,Lesotho,,Mohale's Hoek,LS,
532,538740,Luxembourg,,Diekirch,LU,
533,538741,Luxembourg,,Diekirch,LU,
534,538742,Luxembourg,,Diekirch,LU,
535,539205,Yunnan,Yimen,Yunnan,CN,
536,539205,Yunnan,Yimen,Yunnan,CN,
537,539205,Yunnan,Yimen,Yunnan,CN,
538,539205,Yunnan,Yimen,Yunnan,CN,
539,539205,Yunnan,Yimen,Yunnan,CN,
540,539205,Yunnan,Yimen,Yunnan,CN,
541,539205,Yunnan,Yimen,Yunnan,CN,
542,539205,Yunnan,Yimen,Yunnan,CN,
543,539205,Yunnan,Yimen,Yunnan,CN,
544,539205,Yunnan,Yimen,Yunnan,CN,
545,539206,La Rioja,Independencia,La Rioja,AR,
546,539206,La Rioja,Independencia,La Rioja,AR,
547,539206,La Rioja,Independencia,La Rioja,AR,
548,544644,Swietokrzyskie,,Swietokrzyskie,PL,
549,544645,Swietokrzyskie,,Swietokrzyskie,PL,
