accepted_name	min_ma	max_ma	geoplate	paleolng	paleolat	terrestrial
Millerosaurus	251.902	259.51	701.0	-17.98	-51.75	1
Millerosaurus	251.902	259.51	701.0	-17.98	-51.75	1
Milleretta	251.902	259.51	701.0	-18.05	-51.67	1
Milleretta	251.902	259.51	701.0	-17.98	-51.75	1
Millerinoides	251.902	259.51	701.0	-18.09	-51.82	1
Thadeosaurus	251.902	259.51	702.0	22.51	-42.93	1
Claudiosaurus	251.902	259.51	702.0	24.64	-42.67	1
Claudiosaurus	251.902	259.51	702.0	23.63	-43.02	1
Claudiosaurus	251.902	259.51	702.0	24.81	-42.64	1
Coelurosauravus	251.902	259.51	702.0	22.51	-42.93	1
Coelurosauravus	251.902	259.51	702.0	22.51	-42.93	1
Youngina	251.902	259.51	701.0	-17.98	-51.75	1
Youngina	251.902	259.51	701.0	-18.78	-51.37	1
Millerosaurus	251.902	259.51	701.0	-18.63	-51.22	1
Milleretta	251.902	259.51	701.0	-18.83	-51.42	1
Millerosaurus	251.902	259.51	701.0	-18.5	-51.59	1
Coelurosauravus	251.902	259.51	702.0	24.81	-42.64	1
Barasaurus	251.902	259.51	702.0	24.81	-42.64	1
Acerosodontosaurus	251.902	259.51	702.0	22.51	-42.93	1
Owenetta	251.902	259.51	701.0	-18.5	-51.59	1
Youngina	251.902	259.51	701.0	-18.42	-51.66	1
Gansurhinus	251.902	259.51	604.0	114.71	13.87	1
Spondylolestes	251.902	259.51	701.0	-17.98	-51.75	1
Youngina	251.902	259.51	701.0	-17.98	-51.75	1
Youngina	251.902	259.51	701.0	-18.08	-51.94	1
Youngina	251.902	259.51	701.0	-17.98	-51.75	1
Youngina	251.902	259.51	701.0	-18.42	-51.66	1
Youngina	251.902	259.51	701.0	-18.83	-51.42	1
Pareiasaurus	251.902	259.51	701.0	-18.83	-51.42	1
Youngina	251.902	259.51	701.0	-17.79	-51.07	1
Youngina	251.902	259.51	701.0	-18.09	-51.82	1
Saurosternon	251.902	259.51	701.0	-18.12	-51.77	1
Hovasaurus	251.902	259.51	702.0	22.51	-42.93	1
Owenetta	251.902	259.51	701.0	-18.56	-50.64	1
Owenetta	251.902	259.51	701.0	-18.4	-51.78	1
Owenetta	251.902	259.51	701.0	-17.98	-51.75	1
Pareiasaurus	251.902	259.51	701.0	-18.01	-51.81	1
Spondylolestes	251.902	259.51	701.0	-18.01	-51.81	1
Pareiasaurus	251.902	259.51	701.0	-18.46	-51.6	1
Owenetta	251.902	259.51	701.0	-18.42	-51.66	1
Pareiasaurus	251.902	259.51	701.0	-18.28	-52.71	1
Pareiasaurus	251.902	259.51	701.0	-18.63	-51.22	1
Pareiasaurus	251.902	259.51	701.0	-18.5	-51.56	1
Pareiasaurus	251.902	259.51	701.0	-17.98	-51.74	1
Youngina	251.902	259.51	701.0	-17.98	-51.75	1
Rhynchosauroides	251.902	259.51	307.0	35.49	10.04	1
Procolophonichnium	251.902	259.51	307.0	35.49	10.04	1
Prochirotherium	251.902	259.51	307.0	35.49	10.04	1
Rhynchosauroides	251.902	259.51	307.0	35.49	10.04	1
Onychichnium	251.902	259.51	307.0	35.49	10.04	1
Elginia	251.902	259.51	604.0	114.68	13.88	1
