occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
853380,Eastern Cape,Prince Albert,Eastern Cape,ZA,,Eodicynodon,273.01,259.51
853382,Eastern Cape,,Eastern Cape,ZA,,Eodicynodon,266.9,264.28
868563,Eastern Cape,Ukhahlamba,Eastern Cape,ZA,,Kannemeyeria,247.2,242
890996,Eastern Cape,Graaff-Reinet,Eastern Cape,ZA,,Progalesaurus,251.902,251.2
891100,Eastern Cape,Tarkastad,Eastern Cape,ZA,,Langbergia,251.2,247.2
897913,Eastern Cape,,Eastern Cape,ZA,,Bauria,247.2,242
906797,Eastern Cape,,Eastern Cape,ZA,,Bauria,247.2,242
906799,Eastern Cape,,Eastern Cape,ZA,,Bauria,247.2,242
906802,Eastern Cape,,Eastern Cape,ZA,,Bauria,247.2,242
906808,Eastern Cape,,Eastern Cape,ZA,,Bauria,247.2,242
906809,Eastern Cape,,Eastern Cape,ZA,,Diademodon,247.2,242
906810,Eastern Cape,,Eastern Cape,ZA,,Bauria,247.2,242
921144,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Cricodon,247.2,242
921144,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Cricodon,247.2,242
921144,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Cricodon,247.2,242
921144,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Cricodon,247.2,242
921145,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Diademodon,247.2,242
921146,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Cynognathus,247.2,242
921148,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Diademodon,247.2,242
921149,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Cricodon,247.2,242
921150,Eastern Cape,,Eastern Cape,ZA,,Cynognathus,247.2,242
921151,Eastern Cape,,Eastern Cape,ZA,,Cynognathus,247.2,242
921152,Eastern Cape,,Eastern Cape,ZA,,Cynognathus,247.2,242
921153,Eastern Cape,,Eastern Cape,ZA,,Cynognathus,247.2,242
921154,Eastern Cape,,Eastern Cape,ZA,,Bolotridon,247.2,242
921172,Eastern Cape,,Eastern Cape,ZA,,Diademodon,247.2,242
922698,Eastern Cape,Drakensburg,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
922699,Eastern Cape,Drakensburg,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
922700,Eastern Cape,Drakensburg,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
