,genus,county,state,occurrence_no,age_max,age_min
684,Microvaranops,Karoo Hoogland,Northern Cape,814160,264.28,259.51
685,Microvaranops,Karoo Hoogland,Northern Cape,814160,264.28,259.51
686,Microvaranops,Karoo Hoogland,Northern Cape,814160,264.28,259.51
725,Lanthanostegus,Ikwezi,Eastern Cape,851017,264.28,259.51
726,Lanthanostegus,Ikwezi,Eastern Cape,851017,264.28,259.51
740,Menadon,,Toliara,868182,242.0,227.0
741,Menadon,,Toliara,868182,242.0,227.0
742,Dadadon,,Toliara,868183,242.0,227.0
743,Dadadon,,Toliara,868183,242.0,227.0
755,Pascualgnathus,,Mendoza,891052,237.0,227.0
756,Pascualgnathus,,Mendoza,891052,237.0,227.0
757,Pascualgnathus,,Mendoza,891052,237.0,227.0
758,Pascualgnathus,,Mendoza,891052,237.0,227.0
764,Langbergia,Senekal,Free State,891096,251.2,247.2
765,Langbergia,Senekal,Free State,891096,251.2,247.2
806,Luangwa,,Eastern,896220,247.2,242.0
807,Luangwa,,Eastern,896220,247.2,242.0
808,Luangwa,,Eastern,896220,247.2,242.0
820,Dolichuranus,,,896364,247.2,242.0
821,Dolichuranus,,,896364,247.2,242.0
822,Dolichuranus,,,896364,247.2,242.0
823,Dolichuranus,,,896364,247.2,242.0
824,Dolichuranus,,,896364,247.2,242.0
825,Dolichuranus,,,896364,247.2,242.0
826,Dolichuranus,,,896364,247.2,242.0
833,Luangwa,,,897136,247.2,237.0
834,Luangwa,,,897136,247.2,237.0
835,Luangwa,,,897136,247.2,237.0
844,Shansiodon,,Shanxi,902402,247.2,242.0
845,Shansiodon,,Shanxi,902402,247.2,242.0
868,Brasilodon,Faxinal do Soturno County,Rio Grande do Sul,907133,227.0,208.5
869,Brasilodon,Faxinal do Soturno County,Rio Grande do Sul,907133,227.0,208.5
870,Brasilodon,Faxinal do Soturno County,Rio Grande do Sul,907133,227.0,208.5
871,Brasilitherium,Faxinal do Soturno County,Rio Grande do Sul,907152,227.0,208.5
872,Brasilitherium,Faxinal do Soturno County,Rio Grande do Sul,907152,227.0,208.5
873,Brasilitherium,Faxinal do Soturno County,Rio Grande do Sul,907152,227.0,208.5
874,Brasilitherium,Faxinal do Soturno County,Rio Grande do Sul,907152,227.0,208.5
875,Brasilitherium,Faxinal do Soturno County,Rio Grande do Sul,907152,227.0,208.5
876,Brasilitherium,Faxinal do Soturno County,Rio Grande do Sul,907152,227.0,208.5
877,Riograndia,Faxinal do Soturno County,Rio Grande do Sul,907153,227.0,208.5
878,Riograndia,Faxinal do Soturno County,Rio Grande do Sul,907153,227.0,208.5
879,Riograndia,Faxinal do Soturno County,Rio Grande do Sul,907153,227.0,208.5
880,Riograndia,Faxinal do Soturno County,Rio Grande do Sul,907153,227.0,208.5
881,Riograndia,Faxinal do Soturno County,Rio Grande do Sul,907153,227.0,208.5
882,Riograndia,Faxinal do Soturno County,Rio Grande do Sul,907153,227.0,208.5
883,Riograndia,Faxinal do Soturno County,Rio Grande do Sul,907153,227.0,208.5
888,Vinceria,,Mendoza,920921,247.2,242.0
889,Vinceria,,Mendoza,920921,247.2,242.0
890,Vinceria,,Mendoza,920921,247.2,242.0
894,Cricodon,Sterkstroom,Eastern Cape,921144,247.2,242.0
895,Cricodon,Sterkstroom,Eastern Cape,921144,247.2,242.0
896,Cricodon,Sterkstroom,Eastern Cape,921144,247.2,242.0
897,Cricodon,Sterkstroom,Eastern Cape,921144,247.2,242.0
920,Chiniquodon,,Rio Grande do Sul,922131,242.0,237.0
921,Chiniquodon,,Rio Grande do Sul,922131,242.0,237.0
926,Myosaurus,,,922660,251.902,247.2
927,Myosaurus,,,922660,251.902,247.2
