,id,occurrence_no,genus,Locality,county_original,state,cc
259,3163,782163,Placerias,Navajo,Navajo,Arizona,US
260,3162,786380,Procynosuchus,Waldeck-Frankenberg,Waldeck-Frankenberg,Hesse,DE
261,3161,786799,Dimetrodon,Logan,Logan,Oklahoma,US
262,3157,787182,Oedaleops,Rio Arriba,Rio Arriba,New Mexico,US
263,3158,787182,Oedaleops,Rio Arriba,Rio Arriba,New Mexico,US
264,3159,787182,Oedaleops,Rio Arriba,Rio Arriba,New Mexico,US
265,3160,787182,Oedaleops,Rio Arriba,Rio Arriba,New Mexico,US
266,3154,787183,Aerosaurus,Rio Arriba,Rio Arriba,New Mexico,US
267,3155,787183,Aerosaurus,Rio Arriba,Rio Arriba,New Mexico,US
268,3156,787183,Aerosaurus,Rio Arriba,Rio Arriba,New Mexico,US
269,3124,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
270,3125,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
271,3126,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
272,3127,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
273,3128,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
274,3129,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
275,3130,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
276,3131,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
277,3132,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
278,3133,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
279,3134,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
280,3135,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
281,3136,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
282,3137,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
283,3138,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
284,3139,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
285,3140,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
286,3141,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
287,3142,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
288,3143,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
289,3144,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
290,3145,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
291,3146,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
292,3147,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
293,3148,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
294,3149,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
295,3150,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
296,3151,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
297,3152,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
298,3153,787279,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
299,3118,787280,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
300,3119,787280,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
301,3120,787280,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
302,3121,787280,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
303,3122,787280,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
304,3123,787280,Endothiodon,Adilabad,Adilabad,Andhra Pradesh,IN
305,3117,787281,Oudenodon,Adilabad,Adilabad,Andhra Pradesh,IN
