id	Species	min_age	max_age	Status
3219	Varanops	283.5	290.1	extant
3220	Varanops	283.5	290.1	extant
3217	Tricuspes	201.4	208.5	extant
3216	Tricuspes	201.4	208.5	extant
3215	Pseudotriconodon_Temperate_N	201.4	208.5	extant
3214	Thomasia	201.4	208.5	extant
3213	Kuehneotherium	201.4	208.5	extant
3212	Dimetrodon	273.01	283.5	extant
3211	Edaphosaurus	273.01	283.5	extant
3210	Varanops	273.01	286.1	extant
3209	Habayia	201.4	208.5	extant
3208	Lumkuia	242.0	247.2	extant
3207	Mycterosaurus	273.01	290.1	extant
3206	Chiniquodon	237.0	242.0	extant
3205	Gomphodontosuchus	208.5	237.0	extant
3204	Stahleckeria	237.0	242.0	extant
3203	Traversodon	237.0	242.0	extant
3202	Meurthodon	201.4	208.5	extant
3201	Pachydectes	259.51	264.28	extant
3200	Patranomodon	264.28	266.9	extant
3199	Eodicynodon	259.51	273.01	extant
3198	Brasilitherium	208.5	227.0	extant
3197	Dimetrodon	273.01	283.5	extant
3196	Eothyris	283.5	290.1	extant
3195	Casea	273.01	286.1	extant
3194	Euromycter	273.01	290.1	extant
3193	Cotylorhynchus	273.01	283.5	extant
3192	Cotylorhynchus	266.9	283.5	extant
3190	Angelosaurus	266.9	283.5	extant
3191	Angelosaurus	266.9	283.5	extant
3185	Ennatosaurus_Temperate_N	264.28	273.01	extant
3186	Ennatosaurus_Temperate_N	264.28	273.01	extant
3187	Ennatosaurus_Temperate_N	264.28	273.01	extant
3188	Ennatosaurus_Temperate_N	264.28	273.01	extant
3189	Ennatosaurus_Temperate_N	264.28	273.01	extant
3184	Phreatophasma	266.9	276.5	extant
3183	Ophiacodon	273.01	286.1	extant
3182	Clepsydrops	303.7	305.9	extant
3181	Stereorhachis	300.3	307.4	extant
3180	Baldwinonus	290.1	298.9	extant
3179	Stereophallodon	286.1	298.9	extant
3178	Ophiacodon	283.5	293.52	extant
3177	Edaphosaurus	286.1	298.9	extant
3176	Datheosaurus	297.7	300.3	extant
3175	Haptodus	283.5	290.1	extant
3174	Hypselohaptodus	293.52	298.9	extant
3173	Haptodus	303.7	305.9	extant
3172	Sphenacodon	286.1	298.9	extant
3171	Ctenospondylus	290.1	293.52	extant
3170	Cotylorhynchus	266.9	283.5	extant
3169	Milosaurus	298.9	307.4	extant
3168	Ameghinichnus	208.5	227.0	extant
3167	Pseudotriconodon_Temperate_N	208.5	227.0	extant
3166	Redondagnathus	208.5	227.0	extant
3165	Pentasauropus_Tropical_N	208.5	237.0	extant
3164	Pentasauropus_Tropical_N	201.4	227.0	extant
3163	Placerias	208.5	227.0	extant
3162	Procynosuchus_Temperate_N	254.14	259.51	extant
3161	Dimetrodon	273.01	283.5	extant
3157	Oedaleops	286.1	303.7	extant
3158	Oedaleops	286.1	303.7	extant
