id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
2492,1406767,1406767,-46.55859,Mandasuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2493,1406768,1406768,-46.55859,Mandasuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2494,1407310,1407310,-46.55859,Nundasuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2495,1415292,1415292,29.56131,Hemilopas,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2496,1415293,1415293,29.56131,Hemilopas,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2497,1415294,1415294,29.56131,Hemilopas,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2498,1415297,1415297,29.56131,Hemilopas,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2499,1419692,1419692,29.9194,Tanystropheus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2500,1425292,1425292,12.57983,Pectodens,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2501,1428360,1428360,-46.55859,Stagonosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2502,1530023,1530023,21.05439,Feralisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2503,1574347,1574347,29.56131,Cladeiodon,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2504,1583200,1583200,26.0552,Heteropelta,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2505,1587701,1587701,-46.55859,Mambawakale,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2506,1611415,1611415,11.92386,Sclerosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2507,1611416,1611416,11.92386,Anomoiodon,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2508,1611419,1611419,11.92386,Tanystropheus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2509,1658965,1658965,16.03868,Benggwigwishingasuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2510,149866,149866,-49.98075,Lewisuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2511,149867,149867,-49.98075,Lagerpeton,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2512,272321,272321,-49.98075,Luperosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2513,272322,272322,-49.98075,Lagerpeton,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2514,272323,272323,-49.98075,Chanaresuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2515,272324,272324,-49.98075,Gualosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2516,272325,272325,-49.98075,Gracilisuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2517,272327,272327,-49.98075,Marasuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2518,272328,272328,-49.98075,Lewisuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2519,272329,272329,-49.98075,Tropidosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2520,272330,272330,-49.98075,Tarjadia,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2521,486189,486189,-49.04351,Spondylosoma,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2522,486398,486398,27.72418,Zanclodon,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2523,573788,573788,-49.98075,Gracilisuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2524,573792,573792,-49.98075,Luperosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2525,573793,573793,-49.98075,Lagerpeton,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2526,573794,573794,-49.98075,Chanaresuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2527,573795,573795,-49.98075,Gualosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2528,668708,668708,-49.04351,Prestosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2529,789771,789771,51.56832,Chalishevia,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2530,789773,789773,51.56832,Energosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2531,791754,791754,27.72418,Zanclodon,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2532,797957,797957,22.30036,Macrocnemus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2533,837002,837002,-49.04351,Candelaria,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2534,837006,837006,-49.04351,Candelaria,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2535,837006,837006,-49.04351,Candelaria,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
