id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
7329,220197,220197,-0.7299915,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7330,220196,220196,-0.7299915,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7331,148250,148250,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7332,1340044,1340044,1.059264,Edaphosaurus,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7333,1340043,1340043,1.059264,Dimetrodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7334,1340042,1340042,1.059264,Ophiacodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7335,1340035,1340035,3.303666,Edaphosaurus,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7336,1340034,1340034,3.303666,Dimetrodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7337,1340033,1340033,3.303666,Dimetrodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7338,1317933,1317933,2.461234,Dimetrodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7339,799802,799802,3.303666,Dimetrodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7340,799801,799801,3.303666,Clepsydrops,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7341,799800,799800,3.303666,Ophiacodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7342,790528,790528,-1.18553,Ophiacodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7343,790495,790495,3.303666,Dimetrodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7344,790494,790494,3.303666,Ophiacodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7345,787565,787565,3.303666,Edaphosaurus,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7346,787564,787564,3.303666,Dimetrodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7347,787530,787530,3.303666,Dimetrodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7348,787529,787529,3.303666,Ophiacodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7349,753620,753620,-1.18553,Ophiacodon,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7350,752568,752568,2.461234,Casea,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7351,633270,633270,0.2572943,Varanops,286.1,274.4,Cisuralian,"(286.1, 274.4)"
7352,1340047,1340047,1.059264,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7353,1328489,1328489,0.2572943,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7354,1328478,1328478,0.2572943,Casea,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7355,1328477,1328477,0.2572943,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7356,1317989,1317989,-1.18553,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7357,1317982,1317982,0.2572943,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7358,1317978,1317978,0.2572943,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7359,1317970,1317970,0.2572943,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7360,1317921,1317921,0.2572943,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7361,1317916,1317916,2.461234,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7362,1091175,1091175,-1.18553,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7363,794392,794392,0.2572943,Casea,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7364,794392,794392,0.2572943,Casea,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7365,790521,790521,1.059264,Varanosaurus,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7366,790382,790382,0.2572943,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7367,790380,790380,0.2572943,Edaphosaurus,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7368,790374,790374,0.2572943,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7369,790361,790361,0.2572943,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7370,790357,790357,0.2572943,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7371,789843,789843,1.059264,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7372,789757,789757,-1.18553,Secodontosaurus,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7373,789745,789745,-1.18553,Varanosaurus,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7374,789745,789745,-1.18553,Varanosaurus,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7375,789399,789399,-1.18553,Ophiacodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7376,786799,786799,1.059264,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7377,752575,752575,1.059264,Cotylorhynchus,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7378,748675,748675,0.2572943,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7379,631449,631449,1.059264,Edaphosaurus,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7380,631448,631448,1.059264,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7381,628181,628181,0.2572943,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7382,367509,367509,-1.18553,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7383,296137,296137,-1.18553,Ophiacodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7384,296134,296134,-1.18553,Ophiacodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7385,296131,296131,1.059264,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7386,296130,296130,1.059264,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7387,296123,296123,-1.18553,Ophiacodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7388,296119,296119,-1.18553,Ophiacodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7389,296118,296118,-1.18553,Ophiacodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7390,296110,296110,-1.18553,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7391,296098,296098,-1.18553,Trichasaurus,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7392,296096,296096,-1.18553,Dimetrodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
7393,296095,296095,-1.18553,Ophiacodon,283.5,274.4,Cisuralian,"(283.5, 274.4)"
