accepted_name;accepted_rank;early_interval;late_interval;max_ma;min_ma;time_bins;age;Rotated Longitude;Rotated latitude;group;niche_adequability
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-61.53615;-2.342595;Cynodontia;0.0474182739853859
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-60.85079;-19.33425;Cynodontia;0.0484099537134171
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-60.85079;-19.33425;Cynodontia;0.0484099537134171
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-60.85079;-19.33425;Cynodontia;0.0484099537134171
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-60.85079;-19.33425;Cynodontia;0.0484099537134171
Procynosuchus delaharpeae;species;Lopingian;;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Vetusodon elikhulu;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.50161;-5.693021;Cynodontia;0.0200453028082848
Dicynodon angielczyki;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-50.26402;17.17707;Dicynodontia;0.0204379372298717
Dicynodon angielczyki;species;Wuchiapingian;;298.9;252.17;Wuchiapingian;255;-60.87476;12.81735;Dicynodontia;0.0419242009520531
Aulacocephalus pithecops;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Basilodon woodwardi;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Basilodon woodwardi;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephaloides boonstrai;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus;genus;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus;genus;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-63.15948;-14.72496;Dicynodontia;0.0487370491027832
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-61.36501;-10.98271;Dicynodontia;0.0150218764320016
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-60.85079;-19.33425;Dicynodontia;0.0484099537134171
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-60.85079;-19.33425;Dicynodontia;0.0484099537134171
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-60.85079;-19.33425;Dicynodontia;0.0484099537134171
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-60.85079;-19.33425;Dicynodontia;0.0484099537134171
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-60.85079;-19.33425;Dicynodontia;0.0484099537134171
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-60.85079;-19.33425;Dicynodontia;0.0484099537134171
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-60.85079;-19.33425;Dicynodontia;0.0484099537134171
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-60.85079;-19.33425;Dicynodontia;0.0484099537134171
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-60.85079;-19.33425;Dicynodontia;0.0484099537134171
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Dicynodontia;0.0530015714466572
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Dicynodontia;0.0873583406209946
Cistecephalus microrhinus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-63.48283;-13.95625;Dicynodontia;0.0487370491027832
