genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mat_z_trans_NN,map_z_trans_NN,wmm_z_trans_NN,cmm_z_trans_NN,wmmcmm_z_trans_NN,wetmon_z_trans_NN,drymon_z_trans_NN,wetdry_z_trans_NN,mat_z_trans_WI,map_z_trans_WI,wmm_z_trans_WI,cmm_z_trans_WI,wmmcmm_z_trans_WI,wetmon_z_trans_WI,drymon_z_trans_WI,wetdry_z_trans_WI,Stage
Czatkowiella,-0.298764409,1,0,0,0,248.86055777277278,248.68132693393392,0.17923083883886193,3.221112036666667,2.524070962222222,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,Early Triassic
Decuriasuchus,-0.178720185,0,0,1,0,242.44567033833835,236.89579292592595,5.5498774124124,0.4059635533333334,0.12748924888888888,-0.22372975614285714,-0.007160320857142847,0.17751708642857142,-0.3156986665714286,0.3826701097142857,-0.2678565527142857,-0.31077386185714284,-0.1899416114285714,-0.22372975614285714,-0.007160320857142847,0.17751708642857142,-0.3156986665714286,0.3826701097142857,-0.2678565527142857,-0.31077386185714284,-0.1899416114285714,Ladinian
Deltavjatia,-0.298764409,1,0,0,0,264.3477465815816,259.5307484714715,4.816998110110092,1.6867720866666664,0.8178054244444444,-1.7369487596666666,-0.18473866333333333,-1.5278891945000002,-1.2070454193333333,0.22907961200000002,-0.23449188666666665,0.5916659426666667,-0.5213955508333333,-1.7369487596666666,-0.18473866333333333,-1.5278891945000002,-1.2070454193333333,0.22907961200000002,-0.23449188666666665,0.5916659426666667,-0.5213955508333333,Capitanian
Diandongosuchus,-0.298764409,0,1,0,0,240.33367633533533,240.09473367567568,0.23894265965964223,2.686630541111111,2.4181719233333334,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515000000007,0.55548424,-0.067271449,-0.344019845,0.06164743,Ladinian
Dongusuchus,-0.155217631,1,0,0,0,246.5521757837838,242.04499531931933,4.507180464464483,0.40047109444444445,0.9180837666666667,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,Anisian
Dorosuchus,-0.298764409,1,0,0,0,245.09657055355356,243.3716414944945,1.7249290590590647,1.8531902866666667,1.9303094633333335,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,Anisian
Eifelosaurus,-0.298764409,1,0,0,0,245.8356490690691,245.62978849749751,0.2058605715715771,1.9735981522222221,1.863577441111111,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.7693193120000001,-0.227658904,-0.818914215,Anisian
Elessaurus,-0.298764409,0,0,1,0,248.16184566366366,248.0305966146146,0.1312490490490461,4.825902267777778,2.4132732999999997,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-0.6682892520000001,-0.025101059,-1.503622264,-0.07472663500000001,-0.7738057700000001,-0.151211719,0.361305958,-0.32790419400000004,Early Triassic
Elginia,0.494886461,1,0,0,0,258.6903412942943,250.8390437197197,7.8512975745745734,0.1795346922222222,0.36942073888888893,-0.301198836,-0.4338308112,1.0329861584000002,-0.8695504448,1.3582628299999997,-0.7585876497,0.4020064874,-1.0650654856,-0.301198836,-0.4338308112,1.0329861584000002,-0.8695504448,1.3582628299999997,-0.7585876497,0.4020064874,-1.0650654856,Lopingian
Elorhynchus,-0.298764409,0,0,1,0,239.63568936936937,238.8418241031031,0.7938652662662662,0.40952603,0.5954739088888888,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,Ladinian
Embrithosaurus,-0.298764409,0,0,1,0,263.8924394414414,259.53904045645646,4.353398984984949,2.0717770088888887,0.72486898,-1.833262318,-0.389622535,-1.423499545,-1.369112213,0.432942128,-0.333411258,0.330369084,-0.531297419,-1.833262318,-0.389622535,-1.423499545,-1.369112213,0.432942128,-0.333411258,0.330369084,-0.531297419,Capitanian
Emeroleter,-0.298764409,1,0,0,0,264.4642479109109,259.7548885995996,4.709359311311289,1.6905400455555557,0.7372783677777778,-1.7369487596666666,-0.18473866333333333,-1.5278891945000002,-1.2070454193333333,0.22907961200000002,-0.23449188666666665,0.5916659426666667,-0.5213955508333333,-1.7369487596666666,-0.18473866333333333,-1.5278891945000002,-1.2070454193333333,0.22907961200000002,-0.23449188666666665,0.5916659426666667,-0.5213955508333333,Capitanian
