genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lambda,avg_mu,mean_pt_1myr_z_trans,Mod_R_deltaTMyr_pt_1myr_z_trans
Homodontosaurus,-0.152345603,0,0,1,0,261.1399569,252.7837965,8.35616045,0.690695097,0.668217118,-0.469903814,0.076053357
Hwanghocynodon,-0.297424559,1,0,0,0,256.5900301,256.477871,0.112159073,2.53788786,3.31276043,-0.016673172,-0.859216347
Hyaenasuchus,-0.297424559,0,0,1,0,262.3106781,261.536191,0.774487098,0.851531719,0.865991569,-1.54494948,1.524856541
Hypselohaptodus,-0.297424559,0,1,0,0,295.7061088,295.1917755,0.514333266,1.125582704,0.990280419,0.252445046,-0.414350491
Hypsiprymnopsis,-0.297424559,1,0,0,0,203.8188648,203.3461562,0.472708584,0.969068774,1.630333169,0.035532909,-0.632167669
Ichibengops,-0.297424559,0,0,1,0,258.1457412,255.2173487,2.928392421,1.457402214,1.314086057,-0.144202724,-0.585590769
Icticephalus,-0.297424559,0,0,1,0,257.1821988,256.9709666,0.211232218,0.952294786,0.931875409,-0.016673172,-0.859216347
Ictidochampsa,-0.297424559,0,0,1,0,257.063631,256.8628821,0.200748904,0.789060782,0.798559027,-0.016673172,-0.859216347
Ictidognathus,-0.177974424,0,0,1,0,261.5051849,254.5015613,7.003623612,0.82700026,0.492319882,-0.2877267,0.198141869
Ictidorhinus,-0.297424559,0,0,1,0,254.7799631,254.6113638,0.168599302,1.087598077,1.778354063,-1.039392073,-0.146453112
Ictidosaurus,-0.140777318,0,0,1,0,266.1502811,260.5877651,5.562516039,1.259813784,0.099704778,-0.960043569,0.731233784
Ictidosuchops,-0.152345603,0,0,1,0,259.9008399,252.2579246,7.642915309,0.607424403,0.928735339,-0.527401352,-0.336339042
Ictidosuchus,-0.297424559,0,0,1,0,256.9255185,256.7410353,0.184483206,0.873280334,1.075298063,-0.016673172,-0.859216347
Idelesaurus,-0.297424559,1,0,0,0,262.197322,261.5668628,0.630459206,0.869311262,0.947708573,-1.54494948,1.524856541
Impidens,-0.297424559,0,0,1,0,244.3531452,244.1618746,0.191270525,1.229393456,1.038717762,1.955446393,1.314431594
Inostrancevia,5.678012463,1,0,1,0,264.4129126,255.5963206,8.816592001,1.599169818,0.101686114,-0.42980528,0.308328614
Interpresosaurus,-0.297424559,1,0,0,0,258.5589019,258.4113249,0.147577019,1.831817527,2.713003586,0.142463319,-0.885594469
Irajatherium,-0.297424559,0,0,1,0,224.1438044,212.9067843,11.23702014,0.405088972,0.357039734,0.457924386,0.264159778
Ischigualastia,-0.297424559,0,0,1,0,236.64052,227.7519803,8.888539664,0.610709836,0.616380663,0.738264343,-0.370457558
Isengops,-0.297424559,0,0,1,0,256.47461,256.2842254,0.190384589,0.848216908,1.134506233,-0.558398319,-0.011961492
Jachaleria,-0.022131539,0,0,1,0,242.7170597,206.5133579,36.20370182,0.297867667,0.226038139,0.567121818,-0.105277096
