genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Kuruxuchampsa	-0.3368251980293161	0	0	0	1	0
Kwangsisaurus	-0.3368251980293161	0	0	1	0	0
Labidosaurikos	-0.062303085271649614	0	0	1	0	0
Labidosauriscus	-0.3368251980293161	0	0	1	0	0
Labidosaurus	-0.1678409721277406	0	0	1	0	0
Lagerpeton	-0.3368251980293161	0	0	0	1	0
Lanceirosphenodon	-0.3368251980293161	0	0	0	1	0
Langeronyx	-0.2499804130684901	0	1	1	0	0
Langobardisaurus	0.6103629771726464	0	1	1	0	0
Lanthaniscus	-0.3368251980293161	0	1	0	0	0
Lanthanolania	-0.3368251980293161	0	1	0	0	0
Lanthanosuchus	-0.3368251980293161	0	1	0	0	0
Laquintasaura	-0.3368251980293161	0	0	1	0	0
Largocephalosaurus	-0.3368251980293161	0	0	1	0	0
Lariosaurus	0.8032153854418288	0	1	1	0	0
Lasasaurus	-0.3368251980293161	0	0	0	1	0
Lepidus	-0.3368251980293161	0	0	1	0	0
Leptonectes	0.05018795497385041	0	1	0	0	0
Leptopleuron	-0.3368251980293161	0	1	0	0	0
Leptosuchus	0.06342255368158475	0	0	1	0	0
Lessemsaurus	-0.3368251980293161	0	0	0	1	0
Lewisuchus	-0.1847307076046625	0	0	0	1	0
Leyesaurus	-0.3368251980293161	0	0	0	1	0
Libognathus	-0.3368251980293161	0	0	1	0	0
Liliensternus	0.5457441036751619	0	1	0	0	0
Lindwurmia	-0.3368251980293161	0	1	0	0	0
Litorosuchus	-0.3368251980293161	0	0	1	0	0
Lophostropheus	-0.3368251980293161	0	1	0	0	0
Lotosaurus	-0.30669055072062795	0	0	1	0	0
Lucasuchus	-0.3368251980293161	0	0	1	0	0
Lucianosaurus	-0.3368251980293161	0	0	1	0	0
Lucianovenator	-0.3368251980293161	0	0	0	1	0
Lufengosaurus	-0.3368251980293161	0	1	0	0	0
Lukousaurus	-0.3368251980293161	0	1	0	0	0
Luopingosaurus	-0.3368251980293161	0	0	1	0	0
Luperosuchus	-0.3368251980293161	0	0	0	1	0
Macgowania	0.1850256530399725	0	1	1	0	0
Machaeroprosopus	0.43863079302532065	0	0	1	0	0
Macrocnemus	0.19804277280370167	0	1	1	0	0
Macrocollum	-0.3368251980293161	0	0	0	1	0
Macroleter	2.674173341186847	0	1	1	0	0
Macroplacus	-0.3368251980293161	0	1	0	0	0
Macroplata	-0.3368251980293161	0	1	0	0	0
Maehary	-0.3368251980293161	0	0	0	1	0
Majiashanosaurus	-0.3368251980293161	0	1	0	0	0
Malerisaurus	-0.3368251980293161	0	0	1	0	0
Malutinisuchus	0.059332007354720794	0	1	0	0	0
Mambawakale	-0.3368251980293161	0	0	0	1	0
Mandaphon	-0.3368251980293161	0	0	0	1	0
Mandasuchus	-0.3368251980293161	0	0	0	1	0
Marasuchus	-0.3368251980293161	0	0	0	1	0
Marcianosuchus	-0.3368251980293161	0	0	1	0	0
Massospondylus	-0.3368251980293161	0	0	0	1	0
Mbiresaurus	-0.3368251980293161	0	0	0	1	0
Megachirella	-0.3368251980293161	0	1	0	0	0
Megalancosaurus	0.6103629771726464	0	1	1	0	0
Megalosaurus	-0.3368251980293161	0	1	0	0	0
