genus,lat_range,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Placodus,44.344357,0,1,1,0,0
Planocephalosaurus,37.438888999999996,0,1,1,0,0
Plateosauravus,0.0,0,0,0,1,0
Plateosaurus,111.06939,0,1,0,1,0
Plesiosaurus,6.923099999999998,0,1,0,0,0
Polesinesuchus,0.0,0,0,0,1,0
Polonosuchus,0.0,0,1,0,0,0
Polymorphodon,0.0,0,1,0,0,0
Poposaurus,11.102162,0,0,1,0,0
Postosuchus,7.5587670000000005,0,0,1,0,0
Powellvenator,0.0,0,0,0,1,0
Pravusuchus,0.0,0,0,1,0,0
Preondactylus,0.0,0,1,0,0,0
Prestosuchus,6.239959999999996,0,0,0,1,0
Procerosuchus,0.0,0,0,0,1,0
Procolina,0.0,0,1,0,0,0
Procolophon,31.262080000000005,0,0,0,1,1
Procolophonichnium,0.0,0,0,0,1,0
Procompsognathus,0.0,0,1,0,0,0
Proganochelys,41.349518999999994,0,1,1,0,0
Prolacerta,19.49993,0,0,0,1,1
Prolacertoides,0.0,0,1,0,0,0
Prosantosaurus,0.0,0,1,0,0,0
Prosaurosphargis,0.0,0,0,1,0,0
Protanystropheus,6.58079,0,1,1,0,0
Protecovasaurus,0.0,0,0,1,0,0
Protenodontosaurus,0.0,0,1,0,0,0
Proteosaurus,2.002769999999998,0,1,0,0,0
Proterochampsa,0.0,0,0,0,1,0
Proterochersis,5.7967200000000005,0,1,0,0,0
Proterosuchus,123.86668,0,1,0,1,0
Protoavis,0.0,0,0,1,0,0
Protocaptorhinus,2.2508325,0,0,1,0,0
Protoichthyosaurus,0.0,0,1,0,0,0
Protome,0.0,0,0,1,0,0
Protorosaurus,2.021469999999997,0,1,0,0,0
Protorothyris,1.4431420000000001,0,0,1,0,0
Protosuchus,17.676212,0,1,1,0,0
Provelosaurus,2.464269999999999,0,0,0,1,0
Psephochelys,0.0,0,1,0,0,0
Psephoderma,51.085871000000004,0,1,1,0,0
Psephosauriscus,2.8971590000000003,0,0,1,0,0
Psephosaurus,35.767251,0,1,1,0,0
Pseudhesperosuchus,0.0,0,0,0,1,0
Pseudochampsa,0.0,0,0,0,1,0
Pterodactylus,0.0,0,1,0,0,0
Puercosuchus,0.0,0,0,1,0,0
Pumiliopareia,0.0,0,0,0,1,0
Qianichthyosaurus,10.77627,0,1,1,0,0
Qianosuchus,0.0,0,0,1,0,0
Qianxisaurus,0.0,0,0,1,0,0
Quasianosteosaurus,0.0,0,1,0,0,0
Raibliania,0.0,0,1,0,0,0
Rauisuchus,0.0,0,0,0,1,0
Rautiania,0.0,0,1,0,0,0
Redondasuchus,0.0,0,0,1,0,0
Redondavenator,0.0,0,0,1,0,0
Retymaijychampsa,0.0,0,0,0,1,0
Revueltosaurus,8.209111,0,0,1,0,0
Rhaeticosaurus,0.0,0,1,0,0,0
Rhipaeosaurus,2.415140000000001,0,1,0,0,0
Rhomaleosaurus,3.527619999999999,0,1,0,0,0
Rhombopholis,1.153649999999999,0,1,1,0,0
Rioarribasuchus,5.306681,0,0,1,0,0
Riojasaurus,0.0,0,0,0,1,0
Riojasuchus,0.0,0,0,0,1,0
Romeria,0.0,0,0,1,0,0
Rothianiscus,0.0,0,0,1,0,0
Ruehleia,0.0,0,1,0,0,0
Rugarhynchos,0.0,0,0,1,0,0
Ruhuhuaria,0.0,0,0,0,1,0
Rutiodon,13.2635849,0,0,1,0,0
Sacisaurus,0.0,0,0,0,1,0
Saltoposuchus,1.610599999999998,0,1,0,0,0
Sanchiaosaurus,0.0,0,0,1,0,0
Sanchuansaurus,0.0,0,1,0,0,0
Sanjuansaurus,0.0,0,0,0,1,0
Santaisaurus,0.0,0,1,0,0,0
Sarcosaurus,0.0,0,1,0,0,0
Sarmatosuchus,0.0,0,1,0,0,0
Saturnalia,0.9229100000000017,0,0,0,1,0
Saurodektes,4.564619999999998,0,0,0,1,0
Sauropareion,4.564619999999998,0,0,0,1,0
Saurorictus,0.0,0,0,0,1,0
Saurosternon,0.0,0,0,0,1,0
Saurosuchus,0.0,0,0,0,1,0
