genus	lat_range_z_trans	Temperate_N	Tropical	Temperate_S	Antarctic
Pintosaurus	-0.336825198	0	0	1	0
Pisanosaurus	-0.336825198	0	0	1	0
Pistosaurus	1.051853514	1	1	0	0
Placochelys	1.619483344	1	1	0	0
Placodus	3.001341619	1	1	0	0
Planocephalosaurus	2.481509881	1	1	0	0
Plateosauravus	-0.336825198	0	0	1	0
Plateosaurus	8.024287176	1	0	1	0
Plesiosaurus	0.184333846	1	0	0	0
Polesinesuchus	-0.336825198	0	0	1	0
Polonosuchus	-0.336825198	1	0	0	0
Polymorphodon	-0.336825198	1	0	0	0
Poposaurus	0.498926435	0	1	0	0
Postosuchus	0.232185763	0	1	0	0
Powellvenator	-0.336825198	0	0	1	0
Pravusuchus	-0.336825198	0	1	0	0
Preondactylus	-0.336825198	1	0	0	0
Prestosuchus	0.132908243	0	0	1	0
Procerosuchus	-0.336825198	0	0	1	0
Procolina	-0.336825198	1	0	0	0
Procolophon	2.016530339	0	0	1	1
Procolophonichnium	-0.336825198	0	0	1	0
Procompsognathus	-0.336825198	1	0	0	0
Proganochelys	2.775895372	1	1	0	0
Prolacerta	1.131095946	0	0	1	1
Prolacertoides	-0.336825198	1	0	0	0
Prosantosaurus	-0.336825198	1	0	0	0
Prosaurosphargis	-0.336825198	0	1	0	0
Protanystropheus	0.158565338	1	1	0	0
Protecovasaurus	-0.336825198	0	1	0	0
Protenodontosaurus	-0.336825198	1	0	0	0
Proteosaurus	-0.186060122	1	0	0	0
Proterochampsa	-0.336825198	0	0	1	0
Proterochersis	0.099541899	1	0	0	0
Proterosuchus	8.987645125	1	0	1	0
Protoavis	-0.336825198	0	1	0	0
Protocaptorhinus	-0.167386404	0	1	0	0
Protoichthyosaurus	-0.336825198	1	0	0	0
Protome	-0.336825198	0	1	0	0
Protorosaurus	-0.184652418	1	0	0	0
Protorothyris	-0.228187954	0	1	0	0
Protosuchus	0.993809596	1	1	0	0
Provelosaurus	-0.151319197	0	0	1	0
Psephochelys	-0.336825198	1	0	0	0
Psephoderma	3.508831181	1	1	0	0
Psephosauriscus	-0.118732059	0	1	0	0
Psephosaurus	2.355671852	1	1	0	0
Pseudhesperosuchus	-0.336825198	0	0	1	0
Pseudochampsa	-0.336825198	0	0	1	0
Pterodactylus	-0.336825198	1	0	0	0
Puercosuchus	-0.336825198	0	1	0	0
Pumiliopareia	-0.336825198	0	0	1	0
Qianichthyosaurus	0.474393847	1	1	0	0
Qianosuchus	-0.336825198	0	1	0	0
Qianxisaurus	-0.336825198	0	1	0	0
Quasianosteosaurus	-0.336825198	1	0	0	0
Raibliania	-0.336825198	1	0	0	0
Rauisuchus	-0.336825198	0	0	1	0
Rautiania	-0.336825198	1	0	0	0
Redondasuchus	-0.336825198	0	1	0	0
Redondavenator	-0.336825198	0	1	0	0
Retymaijychampsa	-0.336825198	0	0	1	0
Revueltosaurus	0.281142539	0	1	0	0
Rhaeticosaurus	-0.336825198	1	0	0	0
Rhipaeosaurus	-0.155017619	1	0	0	0
Rhomaleosaurus	-0.07127204	1	0	0	0
Rhombopholis	-0.249980413	1	1	0	0
Rioarribasuchus	0.062652607	0	1	0	0
