genus,lat_range_z_trans,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Platycyclops,-0.297424559041348,0,0,0,1,0
Platypodosaurus,-0.1516562441681751,0,0,0,1,0
Polonodon,-0.297424559041348,0,1,0,0,0
Polycynodon,-0.297424559041348,0,0,0,1,0
Porosteognathus,-0.2619216297957272,0,1,0,0,0
Pravoslavlevia,-0.297424559041348,0,1,0,0,0
Pristerodon,1.0173413428382962,0,0,0,1,0
Pristerognathoides,-0.297424559041348,0,0,0,1,0
Pristerognathus,-0.297424559041348,0,0,0,1,0
Pristerosaurus,-0.297424559041348,0,0,0,1,0
Probainognathus,-0.2657768870823424,0,0,0,1,0
Proburnetia,-0.297424559041348,0,1,0,0,0
Procynosuchus,6.156335208708821,0,1,0,1,0
Prodicynodon,-0.1523456031320572,0,0,0,1,0
Progalesaurus,-0.297424559041348,0,0,0,1,0
Promoschorhynchus,-0.1846593831145039,0,0,0,1,0
Protheriodon,-0.297424559041348,0,0,0,1,0
Protuberum,-0.297424559041348,0,0,0,1,0
Prozostrodon,-0.297424559041348,0,0,0,1,0
Pseudotherium,-0.297424559041348,0,0,0,1,0
Pseudotriconodon,2.086797192150443,0,1,1,0,0
Ptomalestes,-0.297424559041348,0,0,0,1,0
Purlovia,-0.0889283488776799,0,1,0,0,0
Putillosaurus,-0.297424559041348,0,1,0,0,0
Pyozia,-0.297424559041348,0,1,0,0,0
Rabidosaurus,-0.1755569541338003,0,1,0,0,0
Raranimus,-0.297424559041348,0,1,0,0,0
Rastodon,-0.297424559041348,0,0,0,1,0
Rechnisaurus,0.1256941698902601,0,0,0,1,0
Redondagnathus,-0.297424559041348,0,0,1,0,0
Regisaurus,-0.297424559041348,0,0,0,1,0
Reiszia,-0.297424559041348,0,1,0,0,0
Repelinosaurus,-0.297424559041348,0,0,1,0,0
Rewaconodon,1.5465824540127908,0,0,1,1,0
Rhachiocephalus,0.6687695277866947,0,0,0,1,0
Rhadiodromus,-0.1755569541338003,0,1,0,0,0
Rhinodicynodon,-0.297424559041348,0,1,0,0,0
Rhopalodon,-0.1741750941870579,0,1,0,0,0
Riebeeckosaurus,-0.297424559041348,0,0,0,1,0
Riograndia,-0.297424559041348,0,0,0,1,0
Riojanodon,-0.297424559041348,0,0,0,1,0
Robertia,-0.1446715359789778,0,0,0,1,0
Rosieria,-0.297424559041348,0,1,0,0,0
Ruberodon,-0.297424559041348,0,0,0,1,0
Rubidgea,0.6687695277866947,0,0,0,1,0
Ruhuhucerberus,-0.297424559041348,0,0,0,1,0
Ruthenosaurus,-0.297424559041348,0,0,1,0,0
Sangusaurus,-0.1412712430404495,0,0,0,1,0
Santacruzgnathus,-0.297424559041348,0,0,0,1,0
Santacruzodon,-0.297424559041348,0,0,0,1,0
Santagnathus,-0.297424559041348,0,0,0,1,0
Sauroctonus,5.410373401332926,0,1,0,1,0
Sauroscaptor,-0.297424559041348,0,0,0,1,0
Scalenodon,-0.1412712430404495,0,0,0,1,0
Scalopocephalus,-0.297424559041348,0,0,0,1,0
Scalopodontes,-0.297424559041348,0,1,0,0,0
Scalopognathus,-0.297424559041348,0,1,0,0,0
Scaloporhinus,-0.297424559041348,0,0,0,1,0
Scaloposaurus,-0.1496843130572705,0,0,0,1,0
Scaloposuchus,-0.297424559041348,0,0,0,1,0
Scylacoides,-0.297424559041348,0,0,0,1,0
Scylacops,0.6687695277866947,0,0,0,1,0
Scylacosaurus,-0.2102882035183022,0,0,0,1,0
Scylacosuchus,-0.297424559041348,0,1,0,0,0
Scymnosaurus,-0.297424559041348,0,0,0,1,0
Secodontosaurus,-0.1559813903930241,0,0,1,0,0
Sesamondontoides,-0.297424559041348,0,0,0,1,0
Shaanbeikannemeyeria,-0.297424559041348,0,1,0,0,0
Shansiodon,6.24755493209632,0,1,0,1,0
Shiguaignathus,-0.297424559041348,0,1,0,0,0
Silphedosuchus,-0.297424559041348,0,1,0,0,0
Silphoictidoides,-0.297424559041348,0,0,0,1,0
Sinoconodon,-0.297424559041348,0,1,0,0,0
Sinognathus,-0.297424559041348,0,1,0,0,0
Sinokannemeyeria,-0.297424559041348,0,1,0,0,0
Sinophoneus,-0.297424559041348,0,1,0,0,0
Sintocephalus,-0.297424559041348,0,0,0,1,0
Siriusgnathus,-0.08623249659413,0,0,0,1,0
Sludica,-0.1983114555760706,0,1,0,0,0
Smilesaurus,-0.1523456031320572,0,0,0,1,0
Sphenacodon,0.4849498863350119,0,0,1,0,0
Stahleckeria,-0.147694786640087,0,0,0,1,0
Stereophallodon,-0.297424559041348,0,0,1,0,0
Struthiocephaloides,-0.297424559041348,0,0,0,1,0
Struthiocephalus,-0.297424559041348,0,0,0,1,0
Styracocephalus,-0.297424559041348,0,0,0,1,0
Suchogorgon,-0.297424559041348,0,1,0,0,0
Suminia,-0.2426579114385665,0,1,0,0,0
Sungeodon,-0.297424559041348,0,1,0,0,0
Sycosaurus,0.523690571877404,0,0,0,1,0
Syodon,-0.0265020874091202,0,1,0,0,0
Syops,-0.297424559041348,0,0,0,1,0
Sysphinctostoma,-0.297424559041348,0,0,0,1,0
Tambacarnifex,-0.297424559041348,0,0,1,0,0
Tamboeria,-0.297424559041348,0,0,0,1,0
Taoheodon,-0.297424559041348,0,1,0,0,0
Tapinocaninus,-0.297424559041348,0,0,0,1,0
Tapinocephalus,-0.297424559041348,0,0,0,1,0
Taurocephalus,-0.297424559041348,0,0,0,1,0
Tessellatia,-0.297424559041348,0,0,0,1,0
Tetraceratops,-0.297424559041348,0,0,1,0,0
Tetracynodon,0.0214909956798185,0,0,0,1,0
Tetragonias,-0.297424559041348,0,0,0,1,0
Theriognathus,0.7457816697572294,0,0,0,1,0
Therioides,-0.297424559041348,0,0,0,1,0
Theroteinus,-0.297424559041348,0,1,0,0,0
Thliptosaurus,-0.297424559041348,0,0,0,1,0
Thomasia,0.2460272127287098,0,1,0,0,0
Thrinaxodon,0.7567831350085366,0,0,0,1,1
Tigrisuchus,-0.297424559041348,0,0,0,1,0
Tikitherium,-0.297424559041348,0,0,0,1,0
Titanogomphodon,-0.297424559041348,0,0,0,1,0
Titanophoneus,-0.1386721649414371,0,1,0,0,0
Titanosuchus,-0.297424559041348,0,0,0,1,0
Traversodon,-0.297424559041348,0,0,0,1,0
Traversodontoides,-0.297424559041348,0,1,0,0,0
Trichasaurus,-0.297424559041348,0,0,1,0,0
Tricuspes,0.1239132735332484,0,1,0,0,0
Trirachodon,0.7568088995641599,0,0,0,1,0
Trochorhinus,-0.297424559041348,0,0,0,1,0
Trochosaurus,-0.297424559041348,0,0,0,1,0
Trochosuchus,-0.297424559041348,0,0,0,1,0
Tropidostoma,-0.0252214004734853,0,0,0,1,0
Trucidocynodon,-0.08623249659413,0,0,0,1,0
Turfanodon,1.224620334849695,0,1,0,0,0
Ufudocyclops,-0.297424559041348,0,0,0,1,0
Ulemica,-0.1386721649414371,0,1,0,0,0
Ulemosaurus,-0.1386721649414371,0,1,0,0,0
Uniserium,-0.297424559041348,0,1,0,0,0
Uralocynodon,-0.297424559041348,0,1,0,0,0
Uralokannemeyeria,-0.297424559041348,0,1,0,0,0
Urumchia,-0.297424559041348,0,1,0,0,0
Ustia,-0.297424559041348,0,1,0,0,0
Varanodon,-0.297424559041348,0,0,1,0,0
Varanops,-0.1849870642737715,0,0,1,0,0
Varanosaurus,-0.0435438956254476,0,0,1,0,0
Vaughnictis,-0.297424559041348,0,0,1,0,0
Venyukovia,-0.297424559041348,0,1,0,0,0
Vetusodon,-0.297424559041348,0,0,0,1,0
Viatkogorgon,-0.297424559041348,0,1,0,0,0
Viatkosuchus,-0.297424559041348,0,1,0,0,0
Vinceria,-0.297424559041348,0,0,0,1,0
Vivaxosaurus,-0.0052469574233891,0,1,0,0,0
Wadiasaurus,-0.297424559041348,0,0,0,1,0
Walteria,-0.297424559041348,0,0,0,1,0
Watongia,-0.297424559041348,0,0,1,0,0
Woutersia,-0.297424559041348,0,1,0,0,0
Woznikella,-0.0649076137870758,0,1,0,0,0
Xiyukannemeyeria,-0.2551235575338528,0,1,0,0,0
Yikezhaogia,-0.297424559041348,0,1,0,0,0
Zambiasaurus,-0.297424559041348,0,0,0,1,0
