,occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
243,475079,New Mexico,Rio Arriba,New Mexico,US,,Machaeroprosopus,227.0,208.5
244,475081,New Mexico,Rio Arriba,New Mexico,US,,Typothorax,227.0,208.5
245,477082,Connecticut,New Haven,Connecticut,US,,Coelophysis,201.4,199.5
246,479381,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,,Teratosaurus,227.0,208.5
247,479548,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,Efraasia,216.7,213.2
248,479551,Switzerland,Liestal,Basel-Landschaft,CH,,Gresslyosaurus,213.2,208.5
249,479551,Switzerland,Liestal,Basel-Landschaft,CH,,Gresslyosaurus,213.2,208.5
250,479563,Switzerland,,Schaffhausen,CH,,Plateosaurus,227.0,208.5
251,483859,Arizona,Apache,Arizona,US,,Typothorax,227.0,208.5
252,483867,New Mexico,Rio Arriba,New Mexico,US,,Coelophysis,208.5,201.4
253,483868,New Mexico,Rio Arriba,New Mexico,US,,Machaeroprosopus,208.5,201.4
254,483884,Texas,Crosby,Texas,US,,Trilophosaurus,227.0,208.5
255,484408,Mashonaland Central,,Mashonaland Central,ZW,,Hyperodapedon,237.0,227.0
256,484409,Mashonaland Central,,Mashonaland Central,ZW,,Saturnalia,237.0,227.0
257,484673,New Mexico,Quay,New Mexico,US,,Revueltosaurus,227.0,208.5
258,484986,Arizona,Apache,Arizona,US,,Chindesaurus,227.0,208.5
259,484986,Arizona,Apache,Arizona,US,,Chindesaurus,227.0,208.5
260,484987,Arizona,Apache,Arizona,US,,Shuvosaurus,227.0,208.5
261,486103,Jura,Franche-Comte,Jura,FR,,Plateosaurus,227.0,208.5
262,486104,Jura,Franche-Comte,Jura,FR,,Plateosaurus,227.0,208.5
263,486128,Lorraine,Meuthe-et-Moselle,Lorraine,FR,,Plateosaurus,208.5,201.4
264,486145,Jura,Franche-Comte,Jura,FR,,Plateosaurus,227.0,208.5
265,486146,Jura,Franche-Comte,Jura,FR,,Gresslyosaurus,227.0,208.5
266,486165,England,Somerset,England,UK,,Camelotia,208.5,201.4
267,486188,Rio Grande do Sul,,Rio Grande do Sul,BR,,Staurikosaurus,237.0,227.0
268,486189,Rio Grande do Sul,,Rio Grande do Sul,BR,,Spondylosoma,242.0,237.0
269,486393,Bavaria,,Bavaria,DE,,Plateosaurus,227.0,208.5
270,486395,Bavaria,,Bavaria,DE,,Liliensternus,227.0,208.5
271,486398,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,Zanclodon,242.0,237.0
272,486402,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,Plateosaurus,208.5,201.4
273,486405,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,Plateosaurus,227.0,208.5
274,486407,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,Plateosaurus,208.5,201.4
275,486407,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,Plateosaurus,208.5,201.4
276,486408,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,Gresslyosaurus,227.0,208.5
277,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
278,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
279,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
280,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
281,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
282,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
283,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
284,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
285,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
286,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
287,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
